signal,step,src_wire,dst_wire,evidence
slave_ahb_hrdata[0],0,X13Y9_BufMUX16,X14Y9_RMUX57,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[0],1,X14Y9_RMUX57,X14Y8_RMUX34,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[0],2,X14Y8_RMUX34,X14Y8_IMUX16,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[1],0,X13Y9_BufMUX17,X14Y9_RMUX67,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[1],1,X14Y9_RMUX67,X14Y8_RMUX95,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[1],2,X14Y8_RMUX95,X14Y8_IMUX17,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[2],0,X13Y9_BufMUX18,X14Y9_RMUX73,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[2],1,X14Y9_RMUX73,X14Y8_RMUX16,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[2],2,X14Y8_RMUX16,X14Y8_IMUX18,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[3],0,X13Y9_BufMUX19,X14Y9_RMUX87,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[3],1,X14Y9_RMUX87,X14Y8_RMUX53,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[3],2,X14Y8_RMUX53,X14Y8_IMUX19,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[4],0,X13Y8_BufMUX00,X13Y8_InputMUX01,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[4],1,X13Y8_InputMUX01,X14Y8_RMUX08,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[4],2,X14Y8_RMUX08,X14Y8_RMUX10,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[4],3,X14Y8_RMUX10,X14Y8_IMUX22,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[5],0,X13Y8_BufMUX01,X13Y8_InputMUX00,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[5],1,X13Y8_InputMUX00,X14Y8_RMUX23,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[5],2,X14Y8_RMUX23,X14Y8_IMUX23,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[6],0,X13Y8_BufMUX02,X13Y8_InputMUX03,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[6],1,X13Y8_InputMUX03,X14Y8_RMUX40,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[6],2,X14Y8_RMUX40,X14Y8_IMUX20,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[7],0,X13Y8_BufMUX03,X13Y8_InputMUX02,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[7],1,X13Y8_InputMUX02,X14Y8_RMUX11,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[7],2,X14Y8_RMUX11,X14Y8_IMUX21,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[8],0,X13Y8_BufMUX04,X13Y8_InputMUX05,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[8],1,X13Y8_InputMUX05,X14Y8_RMUX28,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[8],2,X14Y8_RMUX28,X14Y8_IMUX02,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[9],0,X13Y8_BufMUX05,X13Y8_InputMUX04,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[9],1,X13Y8_InputMUX04,X14Y8_RMUX33,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[9],2,X14Y8_RMUX33,X14Y8_RMUX35,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[9],3,X14Y8_RMUX35,X14Y8_IMUX03,vendor-slave-ahb-hrdata0-31
