signal,src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
slave_ahb_hrdata[0],X13Y9_BufMUX16,X14Y9_RMUX57,fabric,14,9,CFG_RMUX9,30;31;32;33;34;35;36;37;38;39,30;37,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[0],X14Y9_RMUX57,X14Y8_RMUX34,fabric,14,8,CFG_RMUX5,40;41;42;43;44;45;46;47;48;49,43;49,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[0],X14Y8_RMUX34,X14Y8_IMUX16,fabric,14,8,CFG_IMUX4,0;1;2;3;4;5;6;7;8;9;10;11,7;10,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[1],X13Y9_BufMUX17,X14Y9_RMUX67,fabric,14,9,CFG_RMUX11,10;11;12;13;14;15;16;17;18;19,12;17,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[1],X14Y9_RMUX67,X14Y8_RMUX95,fabric,14,8,CFG_RMUX15,50;51;52;53;54;55;56;57;58;59,53;59,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[1],X14Y8_RMUX95,X14Y8_IMUX17,fabric,14,8,CFG_IMUX4,12;13;14;15;16;17;18;19;20;21;22;23,20;23,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[2],X13Y9_BufMUX18,X14Y9_RMUX73,fabric,14,9,CFG_RMUX12,10;11;12;13;14;15;16;17;18;19,10;17,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[2],X14Y9_RMUX73,X14Y8_RMUX16,fabric,14,8,CFG_RMUX2,40;41;42;43;44;45;46;47;48;49,43;49,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[2],X14Y8_RMUX16,X14Y8_IMUX18,fabric,14,8,CFG_IMUX4,24;25;26;27;28;29;30;31;32;33;34;35,28;34,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[3],X13Y9_BufMUX19,X14Y9_RMUX87,fabric,14,9,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,32;37,vendor-slave-ahb-hrdata0-31
slave_ahb_hrdata[3],X14Y9_RMUX87,X14Y8_RMUX53,fabric,14,8,CFG_RMUX8,50;51;52;53;54;55;56;57;58;59,53;59,vendor-slave-ahb-hrdata0-31
