signal,step,src_wire,dst_wire,evidence
slave_ahb_hsel,0,X14Y7_OMUX44,X14Y7_RMUX75,retained-independent-ff-request-controls
slave_ahb_hsel,1,X14Y7_RMUX75,X14Y11_RMUX21,retained-independent-ff-request-controls
slave_ahb_hsel,2,X14Y11_RMUX21,X14Y10_RMUX86,retained-independent-ff-request-controls
slave_ahb_hsel,3,X14Y10_RMUX86,X13Y10_BBMUXE00,retained-independent-ff-request-controls
slave_ahb_hsel,4,X13Y10_BBMUXE00,X0Y5_SinkMUXPseudo34,retained-independent-ff-request-controls
slave_ahb_hready,0,X14Y10_OMUX29,X14Y10_RMUX63,retained-independent-ff-request-controls
slave_ahb_hready,1,X14Y10_RMUX63,X13Y10_BBMUXE01,retained-independent-ff-request-controls
slave_ahb_hready,2,X13Y10_BBMUXE01,X0Y5_SinkMUXPseudo35,retained-independent-ff-request-controls
slave_ahb_htrans[0],0,X14Y7_OMUX35,X14Y7_RMUX62,retained-independent-ff-request-controls
slave_ahb_htrans[0],1,X14Y7_RMUX62,X14Y10_RMUX56,retained-independent-ff-request-controls
slave_ahb_htrans[0],2,X14Y10_RMUX56,X13Y10_BBMUXE02,retained-independent-ff-request-controls
slave_ahb_htrans[0],3,X13Y10_BBMUXE02,X0Y5_SinkMUXPseudo36,retained-independent-ff-request-controls
slave_ahb_htrans[1],0,X16Y7_OMUX38,X16Y7_OMUX36,retained-independent-ff-request-controls
slave_ahb_htrans[1],1,X16Y7_OMUX36,X17Y7_RMUX86,retained-independent-ff-request-controls
slave_ahb_htrans[1],2,X17Y7_RMUX86,X16Y7_RMUX56,retained-independent-ff-request-controls
slave_ahb_htrans[1],3,X16Y7_RMUX56,X14Y7_RMUX32,retained-independent-ff-request-controls
slave_ahb_htrans[1],4,X14Y7_RMUX32,X14Y10_RMUX33,retained-independent-ff-request-controls
slave_ahb_htrans[1],5,X14Y10_RMUX33,X13Y10_BBMUXE03,retained-independent-ff-request-controls
slave_ahb_htrans[1],6,X13Y10_BBMUXE03,X0Y5_SinkMUXPseudo37,retained-independent-ff-request-controls
slave_ahb_hsize[0],0,X16Y10_OMUX44,X16Y10_OMUX42,retained-independent-ff-request-controls
slave_ahb_hsize[0],1,X16Y10_OMUX42,X17Y10_RMUX93,retained-independent-ff-request-controls
slave_ahb_hsize[0],2,X17Y10_RMUX93,X14Y10_RMUX93,retained-independent-ff-request-controls
slave_ahb_hsize[0],3,X14Y10_RMUX93,X13Y10_BBMUXE04,retained-independent-ff-request-controls
slave_ahb_hsize[0],4,X13Y10_BBMUXE04,X0Y5_SinkMUXPseudo38,retained-independent-ff-request-controls
slave_ahb_hsize[1],0,X17Y8_OMUX02,X17Y8_RMUX02,retained-independent-ff-request-controls
slave_ahb_hsize[1],1,X17Y8_RMUX02,X17Y10_RMUX08,retained-independent-ff-request-controls
slave_ahb_hsize[1],2,X17Y10_RMUX08,X18Y10_RMUX26,retained-independent-ff-request-controls
slave_ahb_hsize[1],3,X18Y10_RMUX26,X14Y10_RMUX03,retained-independent-ff-request-controls
slave_ahb_hsize[1],4,X14Y10_RMUX03,X13Y10_BBMUXE05,retained-independent-ff-request-controls
slave_ahb_hsize[1],5,X13Y10_BBMUXE05,X0Y5_SinkMUXPseudo39,retained-independent-ff-request-controls
slave_ahb_hsize[2],0,X14Y10_OMUX32,X14Y10_OMUX30,retained-independent-ff-request-controls
slave_ahb_hsize[2],1,X14Y10_OMUX30,X15Y10_RMUX56,retained-independent-ff-request-controls
slave_ahb_hsize[2],2,X15Y10_RMUX56,X14Y10_RMUX26,retained-independent-ff-request-controls
slave_ahb_hsize[2],3,X14Y10_RMUX26,X13Y10_BBMUXE06,retained-independent-ff-request-controls
slave_ahb_hsize[2],4,X13Y10_BBMUXE06,X0Y5_SinkMUXPseudo40,retained-independent-ff-request-controls
slave_ahb_hburst[0],0,X14Y7_OMUX38,X14Y7_RMUX85,retained-independent-ff-request-controls
slave_ahb_hburst[0],1,X14Y7_RMUX85,X14Y10_RMUX49,retained-independent-ff-request-controls
slave_ahb_hburst[0],2,X14Y10_RMUX49,X13Y10_BBMUXE07,retained-independent-ff-request-controls
