src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X14Y10_OMUX29,X14Y10_RMUX63,fabric,14,10,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,31;37,retained-independent-ff-request-controls
X14Y10_OMUX30,X15Y10_RMUX56,fabric,15,10,CFG_RMUX9,20;21;22;23;24;25;26;27;28;29,22;27,retained-independent-ff-request-controls
X14Y10_OMUX44,X14Y10_RMUX79,fabric,14,10,CFG_RMUX13,10;11;12;13;14;15;16;17;18;19,12;17,retained-independent-ff-request-controls
X14Y10_RMUX03,X13Y10_BBMUXE05,mcu,13,10,BBMUXE5,0;1;2;3;4;5;6;7;8,2;4,retained-independent-ff-request-controls
X14Y10_RMUX20,X13Y10_BBMUXE09,mcu,13,10,BBMUXE9,0;1;2;3;4;5;6;7;8,2;6,retained-independent-ff-request-controls
X14Y10_RMUX26,X13Y10_BBMUXE06,mcu,13,10,BBMUXE6,0;1;2;3;4;5;6;7;8,1;4,retained-independent-ff-request-controls
X14Y10_RMUX33,X13Y10_BBMUXE03,mcu,13,10,BBMUXE3,0;1;2;3;4;5;6;7;8,1;5,retained-independent-ff-request-controls
X14Y10_RMUX43,X13Y10_BBMUXE10,mcu,13,10,BBMUXE10,0;1;2;3;4;5;6;7;8,1;6,retained-independent-ff-request-controls
X14Y10_RMUX49,X13Y10_BBMUXE07,mcu,13,10,BBMUXE7,0;1;2;3;4;5;6;7;8,0;4,retained-independent-ff-request-controls
X14Y10_RMUX56,X13Y10_BBMUXE02,mcu,13,10,BBMUXE2,0;1;2;3;4;5;6;7;8,0;5,retained-independent-ff-request-controls
X14Y10_RMUX63,X13Y10_BBMUXE01,mcu,13,10,BBMUXE1,0;1;2;3;4;5;6;7;8,0;6,retained-independent-ff-request-controls
X14Y10_RMUX79,X13Y10_BBMUXE08,mcu,13,10,BBMUXE8,0;1;2;3;4;5;6;7;8,3;4,retained-independent-ff-request-controls
X14Y10_RMUX86,X13Y10_BBMUXE00,mcu,13,10,BBMUXE0,0;1;2;3;4;5;6;7;8,3;5,retained-independent-ff-request-controls
X14Y10_RMUX93,X13Y10_BBMUXE04,mcu,13,10,BBMUXE4,0;1;2;3;4;5;6;7;8,3;6,retained-independent-ff-request-controls
X14Y11_RMUX21,X14Y10_RMUX86,fabric,14,10,CFG_RMUX14,20;21;22;23;24;25;26;27;28;29,23;29,retained-independent-ff-request-controls
