signal,step,src_wire,dst_wire,evidence
slave_ahb_hsel,0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-controls-shared
slave_ahb_hsel,1,X14Y12_RMUX21,X14Y10_RMUX86,vendor-slave-ahb-request-controls-shared
slave_ahb_hsel,2,X14Y10_RMUX86,X13Y10_BBMUXE00,vendor-slave-ahb-request-controls-shared
slave_ahb_hsel,3,X13Y10_BBMUXE00,X0Y5_SinkMUXPseudo34,vendor-slave-ahb-request-controls-shared
slave_ahb_hready,0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-controls-shared
slave_ahb_hready,1,X14Y12_RMUX21,X14Y10_RMUX86,vendor-slave-ahb-request-controls-shared
slave_ahb_hready,2,X14Y10_RMUX86,X13Y10_BBMUXE01,vendor-slave-ahb-request-controls-shared
slave_ahb_hready,3,X13Y10_BBMUXE01,X0Y5_SinkMUXPseudo35,vendor-slave-ahb-request-controls-shared
slave_ahb_htrans[0],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-controls-shared
slave_ahb_htrans[0],1,X14Y12_RMUX21,X14Y10_RMUX86,vendor-slave-ahb-request-controls-shared
slave_ahb_htrans[0],2,X14Y10_RMUX86,X13Y10_BBMUXE02,vendor-slave-ahb-request-controls-shared
slave_ahb_htrans[0],3,X13Y10_BBMUXE02,X0Y5_SinkMUXPseudo36,vendor-slave-ahb-request-controls-shared
slave_ahb_htrans[1],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-controls-shared
slave_ahb_htrans[1],1,X14Y12_RMUX21,X14Y10_RMUX86,vendor-slave-ahb-request-controls-shared
slave_ahb_htrans[1],2,X14Y10_RMUX86,X13Y10_BBMUXE03,vendor-slave-ahb-request-controls-shared
slave_ahb_htrans[1],3,X13Y10_BBMUXE03,X0Y5_SinkMUXPseudo37,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[0],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[0],1,X14Y12_RMUX21,X14Y10_RMUX86,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[0],2,X14Y10_RMUX86,X13Y10_BBMUXE04,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[0],3,X13Y10_BBMUXE04,X0Y5_SinkMUXPseudo38,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[1],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[1],1,X14Y12_RMUX21,X14Y10_RMUX86,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[1],2,X14Y10_RMUX86,X13Y10_BBMUXE05,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[1],3,X13Y10_BBMUXE05,X0Y5_SinkMUXPseudo39,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[2],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[2],1,X14Y12_RMUX21,X14Y10_RMUX86,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[2],2,X14Y10_RMUX86,X13Y10_BBMUXE06,vendor-slave-ahb-request-controls-shared
slave_ahb_hsize[2],3,X13Y10_BBMUXE06,X0Y5_SinkMUXPseudo40,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[0],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[0],1,X14Y12_RMUX21,X14Y10_RMUX86,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[0],2,X14Y10_RMUX86,X13Y10_BBMUXE07,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[0],3,X13Y10_BBMUXE07,X0Y5_SinkMUXPseudo41,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[1],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[1],1,X14Y12_RMUX21,X14Y10_RMUX86,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[1],2,X14Y10_RMUX86,X13Y10_BBMUXE08,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[1],3,X13Y10_BBMUXE08,X0Y5_SinkMUXPseudo42,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[2],0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[2],1,X14Y12_RMUX21,X14Y10_RMUX86,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[2],2,X14Y10_RMUX86,X13Y10_BBMUXE09,vendor-slave-ahb-request-controls-shared
slave_ahb_hburst[2],3,X13Y10_BBMUXE09,X0Y5_SinkMUXPseudo43,vendor-slave-ahb-request-controls-shared
slave_ahb_hwrite,0,X14Y12_OMUX02,X14Y12_RMUX21,vendor-slave-ahb-request-controls-shared
slave_ahb_hwrite,1,X14Y12_RMUX21,X14Y10_RMUX86,vendor-slave-ahb-request-controls-shared
slave_ahb_hwrite,2,X14Y10_RMUX86,X13Y10_BBMUXE10,vendor-slave-ahb-request-controls-shared
slave_ahb_hwrite,3,X13Y10_BBMUXE10,X0Y5_SinkMUXPseudo44,vendor-slave-ahb-request-controls-shared

