src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X14Y10_RMUX86,X13Y10_BBMUXE00,mcu,13,10,BBMUXE0,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-controls-shared
X14Y10_RMUX86,X13Y10_BBMUXE01,mcu,13,10,BBMUXE1,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-controls-shared
X14Y10_RMUX86,X13Y10_BBMUXE02,mcu,13,10,BBMUXE2,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-controls-shared
X14Y10_RMUX86,X13Y10_BBMUXE03,mcu,13,10,BBMUXE3,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-controls-shared
X14Y10_RMUX86,X13Y10_BBMUXE04,mcu,13,10,BBMUXE4,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-controls-shared
X14Y10_RMUX86,X13Y10_BBMUXE05,mcu,13,10,BBMUXE5,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-controls-shared
X14Y10_RMUX86,X13Y10_BBMUXE06,mcu,13,10,BBMUXE6,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-controls-shared
X14Y10_RMUX86,X13Y10_BBMUXE07,mcu,13,10,BBMUXE7,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-controls-shared
X14Y10_RMUX86,X13Y10_BBMUXE08,mcu,13,10,BBMUXE8,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-controls-shared
X14Y10_RMUX86,X13Y10_BBMUXE09,mcu,13,10,BBMUXE9,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-controls-shared
X14Y10_RMUX86,X13Y10_BBMUXE10,mcu,13,10,BBMUXE10,0;1;2;3;4;5;6;7;8,3;5,vendor-slave-ahb-request-controls-shared
X14Y12_OMUX02,X14Y12_RMUX21,fabric,14,12,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,30;37,vendor-slave-ahb-request-controls-shared
X14Y12_RMUX21,X14Y10_RMUX86,fabric,14,10,CFG_RMUX14,20;21;22;23;24;25;26;27;28;29,24;29,vendor-slave-ahb-request-controls-shared

