src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X14Y10_RMUX42,X13Y10_BBMUXW00,mcu,13,10,BBMUXW0,0;1;2;3;4;5;6;7;8;9,3;5,vendor-slave-ahb-request-payload-shared
X14Y10_RMUX42,X13Y10_BBMUXW01,mcu,13,10,BBMUXW1,0;1;2;3;4;5;6;7;8;9,3;5,vendor-slave-ahb-request-payload-shared
X14Y10_RMUX42,X13Y10_BBMUXW02,mcu,13,10,BBMUXW2,0;1;2;3;4;5;6;7;8;9,3;5,vendor-slave-ahb-request-payload-shared
X14Y10_RMUX93,X13Y10_BBMUXE11,mcu,13,10,BBMUXE11,0;1;2;3;4;5;6;7;8,3;6,vendor-slave-ahb-request-payload-shared
X14Y11_RMUX87,X14Y7_RMUX63,fabric,14,7,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,36;39,vendor-slave-ahb-request-payload-shared
X14Y12_OMUX00,X15Y12_RMUX14,fabric,15,12,CFG_RMUX2,20;21;22;23;24;25;26;27;28;29,20;27,vendor-slave-ahb-request-payload-shared
X14Y12_OMUX02,X14Y12_RMUX21,fabric,14,12,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,30;37,vendor-slave-ahb-request-payload-shared
X14Y12_RMUX21,X14Y10_RMUX93,fabric,14,10,CFG_RMUX15,30;31;32;33;34;35;36;37;38;39,34;39,vendor-slave-ahb-request-payload-shared
X14Y12_RMUX21,X14Y11_RMUX87,fabric,14,11,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,33;39,vendor-slave-ahb-request-payload-shared
X14Y12_RMUX21,X14Y8_RMUX87,fabric,14,8,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,36;39,vendor-slave-ahb-request-payload-shared
X14Y12_RMUX21,X14Y8_RMUX93,fabric,14,8,CFG_RMUX15,30;31;32;33;34;35;36;37;38;39,36;39,vendor-slave-ahb-request-payload-shared
X14Y12_RMUX21,X14Y9_RMUX86,fabric,14,9,CFG_RMUX14,20;21;22;23;24;25;26;27;28;29,25;29,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX24,X13Y6_BBMUXW00,mcu,13,6,BBMUXW0,0;1;2;3;4;5;6;7;8;9,0;5,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX24,X13Y6_BBMUXW01,mcu,13,6,BBMUXW1,0;1;2;3;4;5;6;7;8;9,0;5,vendor-slave-ahb-request-payload-shared
X14Y6_RMUX24,X13Y6_BBMUXW02,mcu,13,6,BBMUXW2,0;1;2;3;4;5;6;7;8;9,0;5,vendor-slave-ahb-request-payload-shared
