signal,logical_bit,step,src_wire,dst_wire,evidence
spi0_sck_data,5,0,X10Y5_BufMUX02,X10Y5_InputMUX02,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_data,5,1,X10Y5_InputMUX02,X10Y4_RMUX15,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_data,5,2,X10Y4_RMUX15,X12Y4_RMUX68,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_data,5,3,X12Y4_RMUX68,X16Y4_RMUX85,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_data,5,4,X16Y4_RMUX85,X16Y5_RMUX55,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_data,5,5,X16Y5_RMUX55,X16Y9_RMUX31,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_data,5,6,X16Y9_RMUX31,X20Y9_RMUX25,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_data,5,7,X20Y9_RMUX25,X20Y13_RMUX00,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_data,5,8,X20Y13_RMUX00,X20Y13_IOMUX03,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_oe,5,0,X10Y5_BufMUX10,X10Y5_InputMUX11,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_oe,5,1,X10Y5_InputMUX11,X10Y4_RMUX86,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_oe,5,2,X10Y4_RMUX86,X9Y4_RMUX51,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_oe,5,3,X9Y4_RMUX51,X12Y4_RMUX15,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_oe,5,4,X12Y4_RMUX15,X16Y4_RMUX69,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_oe,5,5,X16Y4_RMUX69,X16Y5_RMUX92,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_oe,5,6,X16Y5_RMUX92,X16Y9_RMUX81,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_oe,5,7,X16Y9_RMUX81,X20Y9_RMUX39,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_oe,5,8,X20Y9_RMUX39,X20Y13_RMUX20,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_sck_oe,5,9,X20Y13_RMUX20,X20Y13_IOMUX07,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_data,6,0,X10Y5_BufMUX03,X10Y5_InputMUX03,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_data,6,1,X10Y5_InputMUX03,X10Y4_RMUX31,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_data,6,2,X10Y4_RMUX31,X11Y4_RMUX31,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_data,6,3,X11Y4_RMUX31,X15Y4_RMUX31,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_data,6,4,X15Y4_RMUX31,X19Y4_RMUX25,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_data,6,5,X19Y4_RMUX25,X19Y7_RMUX07,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_data,6,6,X19Y7_RMUX07,X19Y6_RMUX25,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_data,6,7,X19Y6_RMUX25,X19Y10_RMUX07,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_data,6,8,X19Y10_RMUX07,X19Y9_RMUX25,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_data,6,9,X19Y9_RMUX25,X19Y13_RMUX00,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_data,6,10,X19Y13_RMUX00,X19Y13_IOMUX03,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_oe,6,0,X10Y5_BufMUX11,X10Y5_InputMUX10,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_oe,6,1,X10Y5_InputMUX10,X10Y4_RMUX74,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_oe,6,2,X10Y4_RMUX74,X14Y4_RMUX09,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_oe,6,3,X14Y4_RMUX09,X14Y5_RMUX45,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_oe,6,4,X14Y5_RMUX45,X15Y5_RMUX92,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_oe,6,5,X15Y5_RMUX92,X15Y9_RMUX74,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_oe,6,6,X15Y9_RMUX74,X19Y9_RMUX09,vendor-spi0-tx-eight-root-agreement-structural6907-composition
spi0_csn_oe,6,7,X19Y9_RMUX09,X19Y13_RMUX12,vendor-spi0-tx-eight-root-agreement-structural6907-composition
