src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
X10Y5_BufMUX02,X10Y5_InputMUX02,mcu,10,5,InputMUX2,0,,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y5_BufMUX10,X10Y5_InputMUX11,mcu,10,5,InputMUX11,0,,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y5_BufMUX03,X10Y5_InputMUX03,mcu,10,5,InputMUX3,0,0,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y5_BufMUX11,X10Y5_InputMUX10,mcu,10,5,InputMUX10,0,0,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X13Y7_BufMUX08,X13Y7_InputMUX08,mcu,13,7,InputMUX8,0,,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y5_InputMUX02,X10Y4_RMUX15,fabric,10,4,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,33;39,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y4_RMUX15,X12Y4_RMUX68,fabric,12,4,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,23;28,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X12Y4_RMUX68,X16Y4_RMUX85,fabric,16,4,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,15;18,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X16Y4_RMUX85,X16Y5_RMUX55,fabric,16,5,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,16;18,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X16Y5_RMUX55,X16Y9_RMUX31,fabric,16,9,CFG_RMUX5,10;11;12;13;14;15;16;17;18;19,12;19,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X16Y9_RMUX31,X20Y9_RMUX25,fabric,20,9,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,15;18,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y5_InputMUX11,X10Y4_RMUX86,fabric,10,4,CFG_RMUX14,20;21;22;23;24;25;26;27;28;29,23;29,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y4_RMUX86,X9Y4_RMUX51,fabric,9,4,CFG_RMUX8,30;31;32;33;34;35;36;37;38;39,35;37,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X9Y4_RMUX51,X12Y4_RMUX15,fabric,12,4,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,34;38,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X12Y4_RMUX15,X16Y4_RMUX69,fabric,16,4,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,35;38,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X16Y4_RMUX69,X16Y5_RMUX92,fabric,16,5,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,26;28,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X16Y5_RMUX92,X16Y9_RMUX81,fabric,16,9,CFG_RMUX13,30;31;32;33;34;35;36;37;38;39,32;39,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X16Y9_RMUX81,X20Y9_RMUX39,fabric,20,9,CFG_RMUX6,30;31;32;33;34;35;36;37;38;39,35;38,vendor-spi0-tx-eight-root-agreement-structural6907-composition
X10Y5_InputMUX03,X10Y4_RMUX31,fabric,10,4,CFG_RMUX5,10;11;12;13;14;15;16;17;18;19,13;19,vendor-spi0-tx-eight-root-agreement-structural6907-composition
