src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,observed_runs,evidence
X10Y5_BufMUX04,X10Y5_InputMUX05,mcu,10,5,InputMUX5,0,,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7007;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X10Y5_InputMUX05,X10Y4_RMUX38,fabric,10,4,CFG_RMUX6,20;21;22;23;24;25;26;27;28;29,23;29,user_6991;user_7001;structural_6987;structural_6997;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X10Y4_RMUX38,X12Y4_RMUX51,fabric,12,4,CFG_RMUX8,30;31;32;33;34;35;36;37;38;39,33;38,user_6991;user_7001;structural_6987;structural_6997;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X12Y4_RMUX51,X16Y4_RMUX15,fabric,16,4,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,35;38,user_6991;user_7001;structural_6987;structural_6997;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X16Y4_RMUX15,X20Y4_RMUX69,fabric,20,4,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,35;38,user_6991;user_7001;structural_6987;structural_6997;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X20Y4_RMUX69,X20Y5_RMUX92,fabric,20,5,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,26;28,user_6991;user_7001;structural_6987;structural_6997;structural_7007,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X20Y5_RMUX92,X20Y9_RMUX85,fabric,20,9,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,12;19,structural_6987,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X9Y5_BufMUX00,X9Y5_InputMUX01,mcu,9,5,InputMUX1,0,,user_6981;user_6991;user_7001;user_7011;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X9Y5_InputMUX01,X9Y4_RMUX08,fabric,9,4,CFG_RMUX1,20;21;22;23;24;25;26;27;28;29,23;29,user_6981;user_6991;user_7001;structural_6987;structural_6997;structural_7007;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
X9Y4_RMUX08,X13Y4_RMUX33,fabric,13,4,CFG_RMUX5,30;31;32;33;34;35;36;37;38;39,35;38,user_6981;user_6991;user_7001;structural_6987;structural_6997;structural_7017,vendor-spi1-tx-eight-root-agreement-structural6987-composition
