src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,observed_runs,evidence
X5Y5_BufMUX04,X5Y5_InputMUX05,mcu,5,5,InputMUX5,0,,user_7141;user_7161;user_7171;user_7181;structural_7147;structural_7157;structural_7167;structural_7177,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X5Y5_InputMUX05,X5Y4_RMUX38,fabric,5,4,CFG_RMUX6,20;21;22;23;24;25;26;27;28;29,23;29,user_7141;user_7161;user_7171;user_7181;structural_7147;structural_7157;structural_7167;structural_7177,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X5Y4_RMUX38,X8Y4_RMUX51,fabric,8,4,CFG_RMUX8,30;31;32;33;34;35;36;37;38;39,34;38,user_7141;user_7161;user_7171;user_7181;structural_7147;structural_7157;structural_7167;structural_7177,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X8Y4_RMUX51,X12Y4_RMUX15,fabric,12,4,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,35;38,user_7141;user_7161;user_7171;user_7181;structural_7147;structural_7157;structural_7167;structural_7177,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X12Y4_RMUX15,X16Y4_RMUX69,fabric,16,4,CFG_RMUX11,30;31;32;33;34;35;36;37;38;39,35;38,user_7141;user_7181,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X16Y4_RMUX69,X16Y5_RMUX92,fabric,16,5,CFG_RMUX15,20;21;22;23;24;25;26;27;28;29,26;28,user_7141;user_7181,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X16Y5_RMUX92,X16Y9_RMUX74,fabric,16,9,CFG_RMUX12,20;21;22;23;24;25;26;27;28;29,22;29,user_7141;user_7181,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X16Y9_RMUX74,X20Y9_RMUX19,fabric,20,9,CFG_RMUX3,10;11;12;13;14;15;16;17;18;19,15;18,user_7141,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X4Y5_BufMUX00,X4Y5_InputMUX01,mcu,4,5,InputMUX1,0,,user_7141;user_7161;user_7171;user_7181;structural_7147;structural_7157;structural_7167;structural_7177,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X4Y5_InputMUX01,X4Y4_RMUX08,fabric,4,4,CFG_RMUX1,20;21;22;23;24;25;26;27;28;29,23;29,user_7141;user_7161;user_7171;user_7181;structural_7147;structural_7157;structural_7167;structural_7177,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X4Y4_RMUX08,X8Y4_RMUX27,fabric,8,4,CFG_RMUX4,30;31;32;33;34;35;36;37;38;39,35;38,user_7141;user_7161;user_7171;user_7181;structural_7147;structural_7157;structural_7167;structural_7177,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X8Y4_RMUX27,X8Y3_RMUX15,fabric,8,3,CFG_RMUX2,30;31;32;33;34;35;36;37;38;39,33;39,user_7141;user_7161;user_7171;user_7181;structural_7147;structural_7157;structural_7167;structural_7177,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X8Y3_RMUX15,X12Y3_RMUX68,fabric,12,3,CFG_RMUX11,20;21;22;23;24;25;26;27;28;29,25;28,user_7141;user_7161;user_7171;user_7181;structural_7147;structural_7157;structural_7167;structural_7177,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X12Y3_RMUX68,X16Y3_RMUX85,fabric,16,3,CFG_RMUX14,10;11;12;13;14;15;16;17;18;19,15;18,user_7141,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X16Y3_RMUX85,X16Y5_RMUX55,fabric,16,5,CFG_RMUX9,10;11;12;13;14;15;16;17;18;19,10;19,user_7141,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X16Y5_RMUX55,X16Y9_RMUX31,fabric,16,9,CFG_RMUX5,10;11;12;13;14;15;16;17;18;19,12;19,user_7141,vendor-uart1-eight-seed-exact-simultaneous-route-composition
X16Y9_RMUX31,X20Y9_RMUX25,fabric,20,9,CFG_RMUX4,10;11;12;13;14;15;16;17;18;19,15;18,user_7141,vendor-uart1-eight-seed-exact-simultaneous-route-composition
