signal,logical_bit,step,src_wire,dst_wire,evidence
uart2_txd_data,294,0,X5Y5_BufMUX06,X5Y5_InputMUX07,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_data,294,1,X5Y5_InputMUX07,X5Y4_RMUX51,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_data,294,2,X5Y4_RMUX51,X8Y4_RMUX15,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_data,294,3,X8Y4_RMUX15,X12Y4_RMUX68,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_data,294,4,X12Y4_RMUX68,X16Y4_RMUX75,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_data,294,5,X16Y4_RMUX75,X16Y5_RMUX15,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_data,294,6,X16Y5_RMUX15,X20Y5_RMUX69,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_data,294,7,X20Y5_RMUX69,X20Y9_RMUX92,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_data,294,8,X20Y9_RMUX92,X20Y13_RMUX28,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_data,294,9,X20Y13_RMUX28,X20Y13_IOMUX01,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_oe,295,0,X4Y5_BufMUX02,X4Y5_InputMUX02,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_oe,295,1,X4Y5_InputMUX02,X4Y4_RMUX15,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_oe,295,2,X4Y4_RMUX15,X8Y4_RMUX68,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_oe,295,3,X8Y4_RMUX68,X12Y4_RMUX74,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_oe,295,4,X12Y4_RMUX74,X16Y4_RMUX09,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_oe,295,5,X16Y4_RMUX09,X16Y5_RMUX39,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_oe,295,6,X16Y5_RMUX39,X16Y9_RMUX68,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_oe,295,7,X16Y9_RMUX68,X20Y9_RMUX85,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_oe,295,8,X20Y9_RMUX85,X20Y13_RMUX16,vendor-uart2-eight-seed-exact-simultaneous-route-composition
uart2_txd_oe,295,9,X20Y13_RMUX16,X20Y13_IOMUX05,vendor-uart2-eight-seed-exact-simultaneous-route-composition
