pad_x,pad_y,inputmux,dst_x,dst_y,dst_rmux,cfg,enable_byte,enable_mask,verified_pin,set_cells,clear_cells,target_pin
14,13,1,14,12,8,"CFG_RMUX1[3,9]",0,0,PIN_HSE,-,,
17,13,7,17,12,61,"CFG_RMUX10[13,19]",97,64,PIN_19,97:64,,
20,13,2,20,12,20,"CFG_RMUX3[3,9]",85,1,PIN_10,85:1,,
20,13,4,20,12,26,"CFG_RMUX4[23,29]",85,2,PIN_11,84:16;85:2;85:64,85:32,
20,13,7,20,12,56,"CFG_RMUX9[23,29]",82,8,PIN_12,82:8;83:4;83:64;84:32;85:2;85:64,82:16;83:2;83:128;85:32,2
19,13,3,19,12,25,"CFG_RMUX4[13,19]",89,4,PIN_15,89:4,,
20,13,2,20,12,15,"CFG_RMUX2[33,39]",85,1,PIN_10,85:1,,
19,13,2,19,12,10,"CFG_RMUX1[43,49]",89,4,PIN_15,89:4,,
19,13,1,19,12,3,"CFG_RMUX0[3,9]",90,1,PIN_16,90:1,,
0,4,0,1,4,11,"CFG_RMUX1[50,57]",9,64,PIN_25,9:64,,
0,4,2,1,4,16,"CFG_RMUX2[41,47]",10,16,PIN_26,10:16,,
0,4,4,1,4,40,"CFG_RMUX6[40,47]",11,4,PIN_27,11:4,,
0,4,6,1,4,29,"CFG_RMUX4[51,57]",12,1,PIN_28,12:1,,
