pad_x,pad_y,cfg_x,cfg_y,active_z,iomux_indices,feeders,set_bits,clear_bits,evidence
19,13,18,13,0,0|4,0:8|4:16,0.2;0.4;0.28;0.33,0.6;0.34,vendor-af-slotset-oracle-20260815
19,13,18,13,1,1|5,1:8|5:28,0.9;0.11;0.38;0.40,0.13;0.41,vendor-af-slotset-oracle-20260815
19,13,18,13,2,2|6,2:8|6:28,0.16;0.18;1.3;1.5,0.20;1.6,vendor-af-slotset-oracle-20260815
19,13,18,13,3,3|7,3:8|7:16,0.23;0.25;1.7;1.12,0.27;1.13,vendor-af-slotset-oracle-20260815
19,13,18,13,0|1,0|1|4|5,0:8|1:16|4:28|5:0,0.2;0.4;0.7;0.12;0.31;0.33;0.35;0.39,0.6;0.13;0.34;0.41,vendor-af-slotset-oracle-20260815
19,13,18,13,0|2,0|2|4|6,0:20|2:8|4:28|6:0,0.1;0.5;0.16;0.18;0.31;0.33;1.0;1.4,0.6;0.20;0.34;1.6,vendor-af-slotset-oracle-20260815
19,13,18,13,0|3,0|3|4|7,0:16|3:8|4:20|7:0,0.0;0.5;0.23;0.25;0.29;0.33;1.7;1.11,0.6;0.27;0.34;1.13,vendor-af-slotset-oracle-20260815
19,13,18,13,1|2,1|2|5|6,1:8|2:4|5:20|6:0,0.9;0.11;0.15;0.18;0.36;0.40;1.0;1.4,0.13;0.20;0.41;1.6,vendor-af-slotset-oracle-20260815
19,13,18,13,1|3,1|3|5|7,1:8|3:24|5:28|7:0,0.9;0.11;0.23;0.26;0.38;0.40;1.7;1.11,0.13;0.27;0.41;1.13,vendor-af-slotset-oracle-20260815
19,13,18,13,2|3,2|3|6|7,2:8|3:20|6:28|7:0,0.16;0.18;0.22;0.26;1.3;1.5;1.7;1.11,0.20;0.27;1.6;1.13,vendor-af-slotset-oracle-20260815
19,13,18,13,0|1|2,0|1|2|4|5|6,0:4|1:8|2:20|4:12|5:0|6:16,0.1;0.4;0.9;0.11;0.15;0.19;0.31;0.32;0.35;0.39;1.0;1.5,0.6;0.13;0.20;0.34;0.41;1.6,vendor-af-slotset-oracle-20260815
19,13,18,13,0|1|3,0|1|3|4|5|7,0:4|1:8|3:28|4:20|5:0|7:12,0.1;0.4;0.9;0.11;0.24;0.26;0.29;0.33;0.35;0.39;1.10;1.11,0.6;0.13;0.27;0.34;0.41;1.13,vendor-af-slotset-oracle-20260815
19,13,18,13,0|2|3,0|2|3|4|6|7,0:8|2:20|3:4|4:28|6:0|7:16,0.2;0.4;0.15;0.19;0.22;0.25;0.31;0.33;1.0;1.4;1.7;1.12,0.6;0.20;0.27;0.34;1.6;1.13,vendor-af-slotset-oracle-20260815
19,13,18,13,1|2|3,1|2|3|5|6|7,1:8|2:20|3:24|5:28|6:0|7:16,0.9;0.11;0.15;0.19;0.23;0.26;0.38;0.40;1.0;1.4;1.7;1.12,0.13;0.20;0.27;0.41;1.6;1.13,vendor-af-slotset-oracle-20260815
19,13,18,13,0|1|2|3,0|1|2|3|4|5|6|7,0:8|1:16|2:24|3:20|4:12|5:0|6:4|7:28,0.2;0.4;0.7;0.12;0.16;0.19;0.22;0.26;0.31;0.32;0.35;0.39;1.1;1.4;1.10;1.12,0.6;0.13;0.20;0.27;0.34;0.41;1.6;1.13,vendor-af-slotset-oracle-20260815
