link,pin,source_bel,src_wire,dst_wire,cell_table,x,y,cfg_group,clear_selectors,set_selectors,evidence
0,PIN_25,X10Y4_SLICE0,X10Y4_OMUX02,X10Y4_RMUX08,fabric,10,4,CFG_RMUX1,20;21;22;23;24;25;26;27;28;29,20;27,vendor-quad-route-and-image
0,PIN_25,X10Y4_SLICE0,X10Y4_RMUX08,X11Y4_RMUX26,fabric,11,4,CFG_RMUX4,20;21;22;23;24;25;26;27;28;29,22;28,vendor-quad-route-and-image
0,PIN_25,X10Y4_SLICE0,X11Y4_RMUX26,X8Y4_RMUX13,fabric,8,4,CFG_RMUX2,10;11;12;13;14;15;16;17;18;19,10;18,vendor-quad-route-and-image
0,PIN_25,X10Y4_SLICE0,X8Y4_RMUX13,X4Y4_RMUX49,fabric,4,4,CFG_RMUX8,10;11;12;13;14;15;16;17;18;19,11;18,vendor-quad-route-and-image
0,PIN_25,X10Y4_SLICE0,X4Y4_RMUX49,X0Y4_RMUX00,fabric,0,4,CFG_RMUX0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55,3;4,vendor-quad-route-and-image
0,PIN_25,X10Y4_SLICE0,X0Y4_RMUX00,X0Y4_IOMUX06,io,0,4,CFG_IOMUX1,0;1;2;3;4;5;6,0;4,vendor-quad-route-and-image
1,PIN_26,X14Y12_SLICE0,X14Y12_OMUX02,X14Y12_RMUX21,fabric,14,12,CFG_RMUX3,30;31;32;33;34;35;36;37;38;39,30;37,vendor-quad-route-and-image
1,PIN_26,X14Y12_SLICE0,X14Y12_RMUX21,X14Y8_RMUX87,fabric,14,8,CFG_RMUX14,30;31;32;33;34;35;36;37;38;39,36;39,vendor-quad-route-and-image
1,PIN_26,X14Y12_SLICE0,X14Y8_RMUX87,X14Y4_RMUX63,fabric,14,4,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,36;39,vendor-quad-route-and-image
1,PIN_26,X14Y12_SLICE0,X14Y4_RMUX63,X12Y4_RMUX63,fabric,12,4,CFG_RMUX10,30;31;32;33;34;35;36;37;38;39,36;37,vendor-quad-route-and-image
