feed_res,feed_x,feed_y,approach_res,approach_x,approach_y,cfg,evidence
RMUX85,17,9,RMUX68,14,9,"CFG_RMUX14[4,8]",pipwit-pad/pad_20260919_010643
RMUX85,17,9,RMUX44,17,10,"CFG_RMUX14[3,9]",pipwit-pad/pad_20260919_010618
RMUX85,17,9,RMUX44,17,12,"CFG_RMUX14[5,9]",pipwit-pad/pad_20260919_010528
RMUX85,17,9,RMUX92,17,5,"CFG_RMUX14[2,9]",pipwit-pad/pad_20260919_021136
RMUX85,17,9,RMUX92,17,6,"CFG_RMUX14[1,9]",pipwit-pad/pad_20260919_010558
RMUX85,17,9,RMUX92,17,7,"CFG_RMUX14[0,9]",pipwit-pad/pad_20260919_010608
RMUX85,17,9,RMUX92,17,8,"CFG_RMUX14[6,8]",pipwit-pad/pad_20260919_010548
RMUX85,17,9,OMUX38,17,9,"CFG_RMUX14[0,7]",pipwit-pad/pad_20260919_021125
RMUX85,17,9,OMUX41,17,9,"CFG_RMUX14[1,7]",pipwit-pad/pad_20260919_021146
RMUX85,17,9,RMUX20,20,9,"CFG_RMUX14[0,8]",pipwit-pad/pad_20260919_010517
RMUX69,18,9,RMUX15,16,9,"CFG_RMUX11[3,8]",pipwit-pad/pad_20260919_025324
RMUX69,18,9,RMUX15,17,9,"CFG_RMUX11[2,8]",pipwit-pad/pad_20260919_025347
RMUX69,18,9,RMUX87,18,10,"CFG_RMUX11[3,9]",pipwit-pad/pad_20260919_025312
RMUX69,18,9,OMUX26,18,9,"CFG_RMUX11[0,7]",pipwit-pad/pad_20260919_025300
RMUX69,18,9,RMUX63,19,9,"CFG_RMUX11[5,7]",pipwit-pad/pad_20260919_025247
RMUX69,18,9,RMUX63,20,9,"CFG_RMUX11[6,7]",pipwit-pad/pad_20260919_025336
RMUX85,18,9,RMUX68,14,9,"CFG_RMUX14[5,8]",pipwit-pad/pad_20260919_004202
RMUX85,18,9,RMUX68,17,9,"CFG_RMUX14[2,8]",pipwit-pad/pad_20260919_004105
RMUX85,18,9,RMUX44,18,10,"CFG_RMUX14[3,9]",pipwit-pad/pad_20260919_021114
RMUX85,18,9,RMUX44,18,12,"CFG_RMUX14[5,9]",pipwit-pad/pad_20260919_004035
RMUX85,18,9,RMUX92,18,5,"CFG_RMUX14[2,9]",pipwit-pad/pad_20260919_004025
RMUX85,18,9,RMUX92,18,6,"CFG_RMUX14[1,9]",pipwit-pad/pad_20260919_004125
RMUX85,18,9,RMUX92,18,7,"CFG_RMUX14[0,9]",pipwit-pad/pad_20260919_004136
RMUX85,18,9,RMUX92,18,8,"CFG_RMUX14[6,8]",pipwit-pad/pad_20260919_004115
RMUX85,18,9,OMUX38,18,9,"CFG_RMUX14[0,7]",pipwit-pad/pad_20260919_021104
RMUX85,18,9,OMUX41,18,9,"CFG_RMUX14[1,7]",pipwit-pad/pad_20260919_021055
RMUX85,18,9,RMUX20,20,9,"CFG_RMUX14[6,7]",pipwit-pad/pad_20260919_004055
