iomux_z,src_wire,dst_wire
0,X14Y11_OMUX12,X15Y11_RMUX44
0,X15Y11_RMUX44,X15Y8_RMUX80
0,X15Y8_RMUX80,X15Y4_RMUX26
0,X15Y4_RMUX26,X11Y4_RMUX08
0,X11Y4_RMUX08,X12Y4_RMUX26
0,X12Y4_RMUX26,X8Y4_RMUX03
0,X8Y4_RMUX03,X4Y4_RMUX20
0,X4Y4_RMUX20,X0Y4_RMUX30
0,X0Y4_RMUX30,X0Y4_IOMUX00
1,X14Y11_OMUX15,X15Y11_RMUX27
1,X15Y11_RMUX27,X15Y8_RMUX21
1,X15Y8_RMUX21,X15Y4_RMUX86
1,X15Y4_RMUX86,X12Y4_RMUX56
1,X12Y4_RMUX56,X8Y4_RMUX43
1,X8Y4_RMUX43,X4Y4_RMUX79
1,X4Y4_RMUX79,X0Y4_RMUX06
1,X0Y4_RMUX06,X0Y4_IOMUX01
2,X14Y11_OMUX20,X14Y11_RMUX44
2,X14Y11_RMUX44,X14Y8_RMUX80
2,X14Y8_RMUX80,X14Y4_RMUX26
2,X14Y4_RMUX26,X11Y4_RMUX03
2,X11Y4_RMUX03,X7Y4_RMUX20
2,X7Y4_RMUX20,X3Y4_RMUX74
2,X3Y4_RMUX74,X4Y4_RMUX13
2,X4Y4_RMUX13,X0Y4_RMUX18
2,X0Y4_RMUX18,X0Y4_IOMUX02
3,X14Y11_OMUX23,X14Y11_RMUX27
3,X14Y11_RMUX27,X14Y8_RMUX21
3,X14Y8_RMUX21,X14Y4_RMUX93
3,X14Y4_RMUX93,X12Y4_RMUX86
3,X12Y4_RMUX86,X8Y4_RMUX56
3,X8Y4_RMUX56,X4Y4_RMUX26
3,X4Y4_RMUX26,X0Y4_RMUX00
3,X0Y4_RMUX00,X0Y4_IOMUX03
