src_tile,src_x,src_y,src_res,dst_tile,dst_x,dst_y,dst_res,cfg,source,tier
IOTILE,19,13,InputMUX01,LogicTILE,19,12,RMUX03,CFG_RMUX0,observed,vendor-routed-offline
LogicTILE,19,12,RMUX75,IOTILE,19,13,RMUX04,,observed,vendor-routed-offline-fixed
IOTILE,19,13,RMUX04,IOTILE,19,13,IOMUX04,CFG_IOMUX0,observed,vendor-routed-offline
IOTILE,0,4,InputMUX00,LogicTILE,1,4,RMUX11,CFG_RMUX1,observed,vendor-routed-offline
LogicTILE,1,4,RMUX11,LogicTILE,1,4,IMUX09,"CFG_IMUX2[15,22]",observed,vendor-routed-offline
LogicTILE,4,4,RMUX63,IOTILE,0,4,RMUX24,,observed,vendor-isolated-route-offline-fixed
IOTILE,0,4,RMUX24,IOTILE,0,4,IOMUX06,CFG_IOMUX1,observed,vendor-isolated-route-offline
IOTILE,0,4,InputMUX02,LogicTILE,1,4,RMUX16,CFG_RMUX2,observed,vendor-routed-offline
LogicTILE,1,4,RMUX16,LogicTILE,1,4,IMUX10,"CFG_IMUX2[28,34]",observed,vendor-routed-offline
IOTILE,0,4,RMUX24,IOTILE,0,4,IOMUX07,CFG_IOMUX1,observed,vendor-isolated-route-offline
IOTILE,0,4,InputMUX04,LogicTILE,1,4,RMUX40,CFG_RMUX6,observed,vendor-routed-offline
LogicTILE,1,4,RMUX40,LogicTILE,1,4,IMUX38,"CFG_IMUX9[32,34]",observed,vendor-routed-offline
LogicTILE,4,4,RMUX63,IOTILE,0,4,RMUX25,,observed,vendor-isolated-route-offline-fixed
IOTILE,0,4,RMUX25,IOTILE,0,4,IOMUX08,CFG_IOMUX1,observed,vendor-isolated-route-offline
IOTILE,0,4,InputMUX06,LogicTILE,1,4,RMUX29,CFG_RMUX4,observed,vendor-routed-offline
LogicTILE,1,4,RMUX29,LogicTILE,1,4,IMUX39,"CFG_IMUX9[42,46]",observed,vendor-routed-offline
IOTILE,0,4,RMUX25,IOTILE,0,4,IOMUX09,CFG_IOMUX1,observed,vendor-isolated-route-offline
