x,y,mux,sel,byte,mask
20,13,CFG_RMUX3,3,398,1
20,13,CFG_RMUX3,2,399,128
20,13,CFG_RMUX3,0,399,64
20,13,CFG_RMUX2,0,399,32
20,13,CFG_RMUX2,2,399,16
20,13,CFG_RMUX2,3,399,8
20,13,CFG_RMUX1,3,399,2
20,13,CFG_RMUX1,2,399,1
20,13,CFG_RMUX1,0,400,128
20,13,CFG_RMUX0,0,400,64
20,13,CFG_RMUX0,2,400,32
20,13,CFG_RMUX0,3,400,16
19,13,CFG_RMUX3,3,403,16
19,13,CFG_RMUX3,2,403,8
19,13,CFG_RMUX3,0,403,4
19,13,CFG_RMUX2,0,403,2
19,13,CFG_RMUX2,2,403,1
19,13,CFG_RMUX2,3,404,128
19,13,CFG_RMUX1,3,404,32
19,13,CFG_RMUX1,2,404,16
19,13,CFG_RMUX1,0,404,8
19,13,CFG_RMUX0,0,404,4
19,13,CFG_RMUX0,2,404,2
19,13,CFG_RMUX0,3,404,1
18,13,CFG_RMUX3,3,407,1
18,13,CFG_RMUX3,2,408,128
18,13,CFG_RMUX3,0,408,64
18,13,CFG_RMUX2,0,408,32
18,13,CFG_RMUX2,2,408,16
18,13,CFG_RMUX2,3,408,8
18,13,CFG_RMUX1,3,408,2
18,13,CFG_RMUX1,2,408,1
18,13,CFG_RMUX1,0,409,128
18,13,CFG_RMUX0,0,409,64
18,13,CFG_RMUX0,2,409,32
18,13,CFG_RMUX0,3,409,16
17,13,CFG_RMUX3,3,412,16
17,13,CFG_RMUX3,2,412,8
17,13,CFG_RMUX3,0,412,4
17,13,CFG_RMUX2,0,412,2
17,13,CFG_RMUX2,2,412,1
17,13,CFG_RMUX2,3,413,128
17,13,CFG_RMUX1,3,413,32
17,13,CFG_RMUX1,2,413,16
17,13,CFG_RMUX1,0,413,8
17,13,CFG_RMUX0,0,413,4
17,13,CFG_RMUX0,2,413,2
17,13,CFG_RMUX0,3,413,1
16,13,CFG_RMUX3,3,416,1
16,13,CFG_RMUX3,2,417,128
16,13,CFG_RMUX3,0,417,64
16,13,CFG_RMUX2,0,417,32
16,13,CFG_RMUX2,2,417,16
16,13,CFG_RMUX2,3,417,8
16,13,CFG_RMUX1,3,417,2
16,13,CFG_RMUX1,2,417,1
16,13,CFG_RMUX1,0,418,128
16,13,CFG_RMUX0,0,418,64
16,13,CFG_RMUX0,2,418,32
16,13,CFG_RMUX0,3,418,16
15,13,CFG_RMUX3,3,421,16
15,13,CFG_RMUX3,2,421,8
15,13,CFG_RMUX3,0,421,4
15,13,CFG_RMUX2,0,421,2
15,13,CFG_RMUX2,2,421,1
15,13,CFG_RMUX2,3,422,128
15,13,CFG_RMUX1,3,422,32
15,13,CFG_RMUX1,2,422,16
15,13,CFG_RMUX1,0,422,8
15,13,CFG_RMUX0,0,422,4
