x,y,mux,sel,byte,mask,kind,tile
0,1,CFG_INDA_DELAY,0,90294,2,delay,IOTILE
0,1,CFG_INDA_DELAY,1,90294,1,delay,IOTILE
0,1,CFG_INDA_DELAY,2,90410,2,delay,IOTILE
0,1,CFG_INDA_DELAY,3,91454,2,delay,IOTILE
0,1,CFG_INDA_DELAY,4,91454,1,delay,IOTILE
0,1,CFG_INDA_DELAY,5,91570,2,delay,IOTILE
0,1,CFG_INDA_DELAY,6,92614,2,delay,IOTILE
0,1,CFG_INDA_DELAY,7,92614,1,delay,IOTILE
0,1,CFG_INDA_DELAY,8,92730,2,delay,IOTILE
0,1,CFG_INDA_DELAY,9,94702,2,delay,IOTILE
0,1,CFG_INDA_DELAY,10,94702,1,delay,IOTILE
0,1,CFG_INDA_DELAY,11,94818,2,delay,IOTILE
0,1,CFG_INDA_DELAY,12,95862,2,delay,IOTILE
0,1,CFG_INDA_DELAY,13,95862,1,delay,IOTILE
0,1,CFG_INDA_DELAY,14,95978,2,delay,IOTILE
0,1,CFG_INDA_DELAY,15,97022,2,delay,IOTILE
0,1,CFG_INDA_DELAY,16,97022,1,delay,IOTILE
0,1,CFG_INDA_DELAY,17,97138,2,delay,IOTILE
0,1,CFG_INPUTMUX0,0,89598,8,mux,IOTILE
0,1,CFG_INPUTMUX0,1,89830,8,mux,IOTILE
0,1,CFG_INPUTMUX1,0,90758,8,mux,IOTILE
0,1,CFG_INPUTMUX1,1,90990,8,mux,IOTILE
0,1,CFG_INPUTMUX2,0,91686,8,mux,IOTILE
0,1,CFG_INPUTMUX2,1,91918,8,mux,IOTILE
0,1,CFG_INPUTMUX3,0,94702,8,mux,IOTILE
0,1,CFG_INPUTMUX3,1,94934,8,mux,IOTILE
0,1,CFG_INPUTMUX4,0,95166,8,mux,IOTILE
0,1,CFG_INPUTMUX4,1,95398,8,mux,IOTILE
0,1,CFG_INPUTMUX5,0,96326,8,mux,IOTILE
0,1,CFG_INPUTMUX5,1,96558,8,mux,IOTILE
0,1,CFG_INREG_DELAY,0,90410,1,delay,IOTILE
0,1,CFG_INREG_DELAY,1,90526,1,delay,IOTILE
0,1,CFG_INREG_DELAY,2,90526,2,delay,IOTILE
0,1,CFG_INREG_DELAY,3,91570,1,delay,IOTILE
0,1,CFG_INREG_DELAY,4,91686,1,delay,IOTILE
0,1,CFG_INREG_DELAY,5,91686,2,delay,IOTILE
0,1,CFG_INREG_DELAY,6,92730,1,delay,IOTILE
0,1,CFG_INREG_DELAY,7,92846,1,delay,IOTILE
0,1,CFG_INREG_DELAY,8,92846,2,delay,IOTILE
0,1,CFG_INREG_DELAY,9,94818,1,delay,IOTILE
0,1,CFG_INREG_DELAY,10,94934,1,delay,IOTILE
