x,y,mux,sel_index,byte,mask
1,5,BBMUXS0,0,64308,16
1,5,BBMUXS0,1,64424,16
1,5,BBMUXS0,2,64308,32
1,5,BBMUXS0,3,64424,32
1,5,BBMUXS0,4,64308,64
1,5,BBMUXS0,5,64424,64
1,5,BBMUXS0,6,64308,128
1,5,BBMUXS0,7,64424,128
1,5,BBMUXS0,8,64423,4
1,5,BBMUXS1,0,64540,16
1,5,BBMUXS1,1,64656,16
1,5,BBMUXS1,2,64540,32
1,5,BBMUXS1,3,64656,32
1,5,BBMUXS1,4,64540,64
1,5,BBMUXS1,5,64656,64
1,5,BBMUXS1,6,64540,128
1,5,BBMUXS1,7,64656,128
1,5,BBMUXS1,8,64655,4
1,5,BBMUXS10,0,65464,2
1,5,BBMUXS10,1,65580,2
1,5,BBMUXS10,2,65464,1
1,5,BBMUXS10,3,65580,1
1,5,BBMUXS10,4,65465,128
1,5,BBMUXS10,5,65581,128
1,5,BBMUXS10,6,65465,64
1,5,BBMUXS10,7,65581,64
1,5,BBMUXS10,8,65581,8
1,5,BBMUXS11,0,65696,2
1,5,BBMUXS11,1,65812,2
1,5,BBMUXS11,2,65696,1
1,5,BBMUXS11,3,65812,1
1,5,BBMUXS11,4,65697,128
1,5,BBMUXS11,5,65813,128
1,5,BBMUXS11,6,65697,64
1,5,BBMUXS11,7,65813,64
1,5,BBMUXS11,8,65813,8
1,5,BBMUXS2,0,64772,16
1,5,BBMUXS2,1,64888,16
1,5,BBMUXS2,2,64772,32
1,5,BBMUXS2,3,64888,32
1,5,BBMUXS2,4,64772,64
1,5,BBMUXS2,5,64888,64
1,5,BBMUXS2,6,64772,128
1,5,BBMUXS2,7,64888,128
1,5,BBMUXS2,8,64887,4
1,5,BBMUXS3,0,65236,16
1,5,BBMUXS3,1,65352,16
1,5,BBMUXS3,2,65236,32
1,5,BBMUXS3,3,65352,32
1,5,BBMUXS3,4,65236,64
1,5,BBMUXS3,5,65352,64
1,5,BBMUXS3,6,65236,128
1,5,BBMUXS3,7,65352,128
1,5,BBMUXS3,8,65351,4
1,5,BBMUXS4,0,65468,16
1,5,BBMUXS4,1,65584,16
1,5,BBMUXS4,2,65468,32
1,5,BBMUXS4,3,65584,32
1,5,BBMUXS4,4,65468,64
1,5,BBMUXS4,5,65584,64
1,5,BBMUXS4,6,65468,128
1,5,BBMUXS4,7,65584,128
1,5,BBMUXS4,8,65583,4
1,5,BBMUXS5,0,65700,16
1,5,BBMUXS5,1,65816,16
1,5,BBMUXS5,2,65700,32
1,5,BBMUXS5,3,65816,32
1,5,BBMUXS5,4,65700,64
1,5,BBMUXS5,5,65816,64
1,5,BBMUXS5,6,65700,128
1,5,BBMUXS5,7,65816,128
1,5,BBMUXS5,8,65815,4
1,5,BBMUXS6,0,64304,2
1,5,BBMUXS6,1,64420,2
1,5,BBMUXS6,2,64304,1
1,5,BBMUXS6,3,64420,1
1,5,BBMUXS6,4,64305,128
1,5,BBMUXS6,5,64421,128
1,5,BBMUXS6,6,64305,64
1,5,BBMUXS6,7,64421,64
1,5,BBMUXS6,8,64421,8
1,5,BBMUXS7,0,64536,2
1,5,BBMUXS7,1,64652,2
1,5,BBMUXS7,2,64536,1
1,5,BBMUXS7,3,64652,1
1,5,BBMUXS7,4,64537,128
1,5,BBMUXS7,5,64653,128
1,5,BBMUXS7,6,64537,64
1,5,BBMUXS7,7,64653,64
1,5,BBMUXS7,8,64653,8
1,5,BBMUXS8,0,64768,2
1,5,BBMUXS8,1,64884,2
1,5,BBMUXS8,2,64768,1
1,5,BBMUXS8,3,64884,1
1,5,BBMUXS8,4,64769,128
