src_tile,src_x,src_y,src_res,dst_tile,dst_x,dst_y,dst_res,cfg,source,tier,bit
UFMTILE,0,5,alta_rv3200,UFMTILE,11,5,BufMUX10,MCU_DIN_ENTRY,solver,mcuedge,0
UFMTILE,11,5,BufMUX10,UFMTILE,11,5,InputMUX11,MCU_DIN_BUF2IN,solver,mcuedge,0
UFMTILE,11,5,InputMUX11,LogicTILE,11,4,RMUX93,MCU_DIN_IN2RMUX,solver,mcuedge,0
LogicTILE,10,4,RMUX02,UFMTILE,10,5,BBMUXS06,MCU_DOUT_RMUX2BB,solver,mcuedge,0
UFMTILE,10,5,BBMUXS06,UFMTILE,0,5,SinkMUXPseudo147,MCU_DOUT_BB2SINK,solver,mcuedge,0
UFMTILE,0,5,SinkMUXPseudo147,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,solver,mcuedge,0
UFMTILE,0,5,alta_rv3200,UFMTILE,10,5,BufMUX00,MCU_DIN_ENTRY,solver,mcuedge,1
UFMTILE,10,5,BufMUX00,UFMTILE,10,5,InputMUX00,MCU_DIN_BUF2IN,solver,mcuedge,1
UFMTILE,10,5,InputMUX00,LogicTILE,10,4,RMUX17,MCU_DIN_IN2RMUX,solver,mcuedge,1
LogicTILE,10,4,RMUX32,UFMTILE,10,5,BBMUXS04,MCU_DOUT_RMUX2BB,solver,mcuedge,1
UFMTILE,10,5,BBMUXS04,UFMTILE,0,5,SinkMUXPseudo145,MCU_DOUT_BB2SINK,solver,mcuedge,1
UFMTILE,0,5,SinkMUXPseudo145,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,solver,mcuedge,1
UFMTILE,0,5,alta_rv3200,UFMTILE,10,5,BufMUX02,MCU_DIN_ENTRY,solver,mcuedge,2
UFMTILE,10,5,BufMUX02,UFMTILE,10,5,InputMUX03,MCU_DIN_BUF2IN,solver,mcuedge,2
UFMTILE,10,5,InputMUX03,LogicTILE,10,4,RMUX47,MCU_DIN_IN2RMUX,solver,mcuedge,2
LogicTILE,10,4,RMUX19,UFMTILE,10,5,BBMUXS02,MCU_DOUT_RMUX2BB,solver,mcuedge,2
UFMTILE,10,5,BBMUXS02,UFMTILE,0,5,SinkMUXPseudo143,MCU_DOUT_BB2SINK,solver,mcuedge,2
UFMTILE,0,5,SinkMUXPseudo143,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,solver,mcuedge,2
UFMTILE,0,5,alta_rv3200,UFMTILE,10,5,BufMUX04,MCU_DIN_ENTRY,solver,mcuedge,3
UFMTILE,10,5,BufMUX04,UFMTILE,10,5,InputMUX05,MCU_DIN_BUF2IN,solver,mcuedge,3
UFMTILE,10,5,InputMUX05,LogicTILE,10,4,RMUX28,MCU_DIN_IN2RMUX,solver,mcuedge,3
LogicTILE,10,4,RMUX09,UFMTILE,10,5,BBMUXS00,MCU_DOUT_RMUX2BB,solver,mcuedge,3
UFMTILE,10,5,BBMUXS00,UFMTILE,0,5,SinkMUXPseudo141,MCU_DOUT_BB2SINK,solver,mcuedge,3
UFMTILE,0,5,SinkMUXPseudo141,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,solver,mcuedge,3
LogicTILE,14,12,RMUX93,UFMTILE,13,12,BBMUXE02,MCU_DOUT_RMUX2BB,recon,mcuedge,10
UFMTILE,13,12,BBMUXE02,UFMTILE,0,5,SinkMUXPseudo02,MCU_DOUT_BB2SINK,recon,mcuedge,10
UFMTILE,0,5,SinkMUXPseudo02,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,recon,mcuedge,10
LogicTILE,14,12,RMUX26,UFMTILE,13,12,BBMUXE03,MCU_DOUT_RMUX2BB,recon,mcuedge,11
UFMTILE,13,12,BBMUXE03,UFMTILE,0,5,SinkMUXPseudo03,MCU_DOUT_BB2SINK,recon,mcuedge,11
UFMTILE,0,5,SinkMUXPseudo03,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,recon,mcuedge,11
LogicTILE,14,8,RMUX32,LogicTILE,14,12,RMUX26,VENDOR_HRDATA_FEEDER,recon,mcuedge,99
LogicTILE,14,12,RMUX20,UFMTILE,13,12,BBMUXE04,MCU_DOUT_RMUX2BB,recon,mcuedge,12
UFMTILE,13,12,BBMUXE04,UFMTILE,0,5,SinkMUXPseudo04,MCU_DOUT_BB2SINK,recon,mcuedge,12
UFMTILE,0,5,SinkMUXPseudo04,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,recon,mcuedge,12
LogicTILE,14,12,RMUX49,UFMTILE,13,12,BBMUXE05,MCU_DOUT_RMUX2BB,recon,mcuedge,13
UFMTILE,13,12,BBMUXE05,UFMTILE,0,5,SinkMUXPseudo05,MCU_DOUT_BB2SINK,recon,mcuedge,13
UFMTILE,0,5,SinkMUXPseudo05,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,recon,mcuedge,13
LogicTILE,14,12,RMUX56,UFMTILE,13,12,BBMUXE06,MCU_DOUT_RMUX2BB,recon,mcuedge,14
UFMTILE,13,12,BBMUXE06,UFMTILE,0,5,SinkMUXPseudo06,MCU_DOUT_BB2SINK,recon,mcuedge,14
UFMTILE,0,5,SinkMUXPseudo06,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,recon,mcuedge,14
LogicTILE,14,12,RMUX33,UFMTILE,13,12,BBMUXE07,MCU_DOUT_RMUX2BB,recon,mcuedge,15
UFMTILE,13,12,BBMUXE07,UFMTILE,0,5,SinkMUXPseudo07,MCU_DOUT_BB2SINK,recon,mcuedge,15
UFMTILE,0,5,SinkMUXPseudo07,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,recon,mcuedge,15
LogicTILE,14,12,RMUX63,UFMTILE,13,12,BBMUXE08,MCU_DOUT_RMUX2BB,corpus,mcuedge,16
UFMTILE,13,12,BBMUXE08,UFMTILE,0,5,SinkMUXPseudo08,MCU_DOUT_BB2SINK,recon,mcuedge,16
UFMTILE,0,5,SinkMUXPseudo08,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,recon,mcuedge,16
LogicTILE,14,12,RMUX79,UFMTILE,13,12,BBMUXE09,MCU_DOUT_RMUX2BB,corpus,mcuedge,17
UFMTILE,13,12,BBMUXE09,UFMTILE,0,5,SinkMUXPseudo09,MCU_DOUT_BB2SINK,recon,mcuedge,17
UFMTILE,0,5,SinkMUXPseudo09,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,recon,mcuedge,17
LogicTILE,14,12,RMUX86,UFMTILE,13,12,BBMUXE10,MCU_DOUT_RMUX2BB,corpus,mcuedge,18
UFMTILE,13,12,BBMUXE10,UFMTILE,0,5,SinkMUXPseudo10,MCU_DOUT_BB2SINK,corpus,mcuedge,18
UFMTILE,0,5,SinkMUXPseudo10,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,corpus,mcuedge,18
LogicTILE,14,12,RMUX13,UFMTILE,13,12,BBMUXE11,MCU_DOUT_RMUX2BB,corpus,mcuedge,19
UFMTILE,13,12,BBMUXE11,UFMTILE,0,5,SinkMUXPseudo11,MCU_DOUT_BB2SINK,corpus,mcuedge,19
UFMTILE,0,5,SinkMUXPseudo11,UFMTILE,0,5,alta_rv3200,MCU_DOUT_SINK2MCU,corpus,mcuedge,19
