src_res,src_x,src_y,dst_res,dst_x,dst_y,source
RMUX00,0,4,IOMUX03,0,4,silicon_ring
RMUX06,0,4,IOMUX01,0,4,silicon_ring
RMUX18,0,4,IOMUX02,0,4,silicon_ring
RMUX30,0,4,IOMUX00,0,4,silicon_ring
OMUX01,10,1,IMUX04,10,1,silicon_ring
OMUX01,10,1,IMUX05,10,1,silicon_ring
OMUX01,10,1,IMUX06,10,1,silicon_ring
OMUX01,10,1,IMUX07,10,1,silicon_ring
OMUX01,10,1,IMUX08,10,1,silicon_ring
OMUX01,10,1,IMUX10,10,1,silicon_ring
OMUX01,10,1,IMUX12,10,1,silicon_ring
OMUX01,10,1,IMUX14,10,1,silicon_ring
OMUX01,10,1,IMUX16,10,1,silicon_ring
OMUX01,10,1,IMUX18,10,1,silicon_ring
OMUX01,10,1,IMUX20,10,1,silicon_ring
OMUX01,10,1,IMUX22,10,1,silicon_ring
OMUX01,10,1,IMUX24,10,1,silicon_ring
OMUX01,10,1,IMUX26,10,1,silicon_ring
OMUX01,10,1,IMUX28,10,1,silicon_ring
OMUX01,10,1,IMUX30,10,1,silicon_ring
OMUX01,10,1,IMUX34,10,1,silicon_ring
OMUX01,10,1,IMUX36,10,1,silicon_ring
OMUX01,10,1,IMUX38,10,1,silicon_ring
OMUX01,10,1,IMUX40,10,1,silicon_ring
OMUX01,10,1,IMUX42,10,1,silicon_ring
OMUX01,10,1,IMUX44,10,1,silicon_ring
OMUX01,10,1,IMUX46,10,1,silicon_ring
OMUX01,10,1,IMUX48,10,1,silicon_ring
OMUX01,10,1,IMUX50,10,1,silicon_ring
OMUX02,10,1,OMUX01,10,1,silicon_ring
OMUX02,10,1,RMUX08,10,1,silicon_ring
OMUX02,10,1,RMUX15,10,1,silicon_ring
OMUX02,10,1,RMUX17,10,1,silicon_ring
OMUX02,10,1,RMUX19,10,1,silicon_ring
OMUX04,10,1,IMUX00,10,1,silicon_ring
OMUX04,10,1,IMUX01,10,1,silicon_ring
OMUX04,10,1,IMUX02,10,1,silicon_ring
OMUX04,10,1,IMUX03,10,1,silicon_ring
OMUX04,10,1,IMUX09,10,1,silicon_ring
OMUX04,10,1,IMUX11,10,1,silicon_ring
OMUX04,10,1,IMUX13,10,1,silicon_ring
OMUX04,10,1,IMUX15,10,1,silicon_ring
OMUX04,10,1,IMUX17,10,1,silicon_ring
OMUX04,10,1,IMUX19,10,1,silicon_ring
OMUX04,10,1,IMUX21,10,1,silicon_ring
OMUX04,10,1,IMUX23,10,1,silicon_ring
OMUX04,10,1,IMUX25,10,1,silicon_ring
OMUX04,10,1,IMUX27,10,1,silicon_ring
OMUX04,10,1,IMUX29,10,1,silicon_ring
OMUX04,10,1,IMUX31,10,1,silicon_ring
OMUX04,10,1,IMUX33,10,1,silicon_ring
OMUX04,10,1,IMUX35,10,1,silicon_ring
OMUX04,10,1,IMUX37,10,1,silicon_ring
OMUX04,10,1,IMUX39,10,1,silicon_ring
OMUX04,10,1,IMUX41,10,1,silicon_ring
OMUX04,10,1,IMUX43,10,1,silicon_ring
OMUX04,10,1,IMUX45,10,1,silicon_ring
OMUX04,10,1,IMUX47,10,1,silicon_ring
OMUX04,10,1,IMUX49,10,1,silicon_ring
OMUX04,10,1,IMUX51,10,1,silicon_ring
OMUX05,10,1,OMUX04,10,1,silicon_ring
OMUX05,10,1,RMUX08,10,1,silicon_ring
OMUX05,10,1,RMUX15,10,1,silicon_ring
OMUX05,10,1,RMUX19,10,1,silicon_ring
OMUX07,10,1,IMUX00,10,1,silicon_ring
OMUX07,10,1,IMUX02,10,1,silicon_ring
OMUX07,10,1,IMUX04,10,1,silicon_ring
OMUX07,10,1,IMUX06,10,1,silicon_ring
OMUX07,10,1,IMUX12,10,1,silicon_ring
OMUX07,10,1,IMUX13,10,1,silicon_ring
OMUX07,10,1,IMUX14,10,1,silicon_ring
OMUX07,10,1,IMUX15,10,1,silicon_ring
OMUX07,10,1,IMUX16,10,1,silicon_ring
OMUX07,10,1,IMUX18,10,1,silicon_ring
OMUX07,10,1,IMUX20,10,1,silicon_ring
OMUX07,10,1,IMUX22,10,1,silicon_ring
OMUX07,10,1,IMUX24,10,1,silicon_ring
OMUX07,10,1,IMUX26,10,1,silicon_ring
OMUX07,10,1,IMUX28,10,1,silicon_ring
OMUX07,10,1,IMUX30,10,1,silicon_ring
OMUX07,10,1,IMUX32,10,1,silicon_ring
OMUX07,10,1,IMUX34,10,1,silicon_ring
OMUX07,10,1,IMUX36,10,1,silicon_ring
OMUX07,10,1,IMUX38,10,1,silicon_ring
OMUX07,10,1,IMUX40,10,1,silicon_ring
OMUX07,10,1,IMUX42,10,1,silicon_ring
OMUX07,10,1,IMUX44,10,1,silicon_ring
OMUX07,10,1,IMUX46,10,1,silicon_ring
OMUX07,10,1,IMUX48,10,1,silicon_ring
OMUX07,10,1,IMUX50,10,1,silicon_ring
OMUX08,10,1,OMUX07,10,1,silicon_ring
OMUX08,10,1,RMUX05,10,1,silicon_ring
OMUX08,10,1,RMUX09,10,1,silicon_ring
OMUX08,10,1,RMUX20,10,1,silicon_ring
OMUX10,10,1,IMUX01,10,1,silicon_ring
OMUX10,10,1,IMUX03,10,1,silicon_ring
OMUX10,10,1,IMUX05,10,1,silicon_ring
OMUX10,10,1,IMUX07,10,1,silicon_ring
OMUX10,10,1,IMUX08,10,1,silicon_ring
OMUX10,10,1,IMUX09,10,1,silicon_ring
OMUX10,10,1,IMUX10,10,1,silicon_ring
OMUX10,10,1,IMUX11,10,1,silicon_ring
OMUX10,10,1,IMUX17,10,1,silicon_ring
OMUX10,10,1,IMUX19,10,1,silicon_ring
OMUX10,10,1,IMUX21,10,1,silicon_ring
OMUX10,10,1,IMUX23,10,1,silicon_ring
OMUX10,10,1,IMUX25,10,1,silicon_ring
OMUX10,10,1,IMUX27,10,1,silicon_ring
OMUX10,10,1,IMUX29,10,1,silicon_ring
OMUX10,10,1,IMUX31,10,1,silicon_ring
OMUX10,10,1,IMUX33,10,1,silicon_ring
OMUX10,10,1,IMUX35,10,1,silicon_ring
OMUX10,10,1,IMUX37,10,1,silicon_ring
OMUX10,10,1,IMUX39,10,1,silicon_ring
OMUX10,10,1,IMUX41,10,1,silicon_ring
OMUX10,10,1,IMUX43,10,1,silicon_ring
OMUX10,10,1,IMUX45,10,1,silicon_ring
OMUX10,10,1,IMUX47,10,1,silicon_ring
OMUX10,10,1,IMUX49,10,1,silicon_ring
OMUX10,10,1,IMUX51,10,1,silicon_ring
OMUX11,10,1,OMUX10,10,1,silicon_ring
OMUX11,10,1,RMUX03,10,1,silicon_ring
OMUX11,10,1,RMUX09,10,1,silicon_ring
OMUX11,10,1,RMUX20,10,1,silicon_ring
OMUX13,10,1,IMUX00,10,1,silicon_ring
OMUX13,10,1,IMUX02,10,1,silicon_ring
OMUX13,10,1,IMUX04,10,1,silicon_ring
OMUX13,10,1,IMUX06,10,1,silicon_ring
OMUX13,10,1,IMUX08,10,1,silicon_ring
OMUX13,10,1,IMUX10,10,1,silicon_ring
OMUX13,10,1,IMUX12,10,1,silicon_ring
OMUX13,10,1,IMUX14,10,1,silicon_ring
OMUX13,10,1,IMUX20,10,1,silicon_ring
OMUX13,10,1,IMUX21,10,1,silicon_ring
OMUX13,10,1,IMUX22,10,1,silicon_ring
OMUX13,10,1,IMUX23,10,1,silicon_ring
OMUX13,10,1,IMUX24,10,1,silicon_ring
OMUX13,10,1,IMUX26,10,1,silicon_ring
OMUX13,10,1,IMUX30,10,1,silicon_ring
OMUX13,10,1,IMUX32,10,1,silicon_ring
OMUX13,10,1,IMUX34,10,1,silicon_ring
OMUX13,10,1,IMUX36,10,1,silicon_ring
OMUX13,10,1,IMUX38,10,1,silicon_ring
OMUX13,10,1,IMUX40,10,1,silicon_ring
OMUX13,10,1,IMUX42,10,1,silicon_ring
OMUX13,10,1,IMUX44,10,1,silicon_ring
OMUX13,10,1,IMUX46,10,1,silicon_ring
OMUX13,10,1,IMUX48,10,1,silicon_ring
OMUX13,10,1,IMUX50,10,1,silicon_ring
OMUX14,10,1,OMUX13,10,1,silicon_ring
