x,y,z,init,source_wire,dest_wire,byte,value,write_mask,selector_mask,sparse_policy
14,4,5,43690,X14Y4_RMUX22,X14Y4_IMUX20,68172,120,255,0,allow
14,4,5,43690,X14Y4_RMUX22,X14Y4_IMUX20,68288,120,255,0,allow
14,4,5,43690,X14Y4_RMUX22,X14Y4_IMUX20,68404,2,255,2,allow
14,4,5,43690,X14Y4_RMUX22,X14Y4_IMUX20,68520,0,255,0,allow
14,4,5,43690,X14Y4_RMUX22,X14Y4_IMUX20,68521,64,64,64,allow
14,4,5,43690,X14Y4_RMUX22,X14Y4_IMUX20,71190,68,68,68,allow
14,8,8,43690,X15Y8_RMUX00,X14Y8_IMUX32,38476,120,255,0,fail_closed
14,8,8,43690,X15Y8_RMUX00,X14Y8_IMUX32,38592,120,255,0,fail_closed
14,8,8,43690,X15Y8_RMUX00,X14Y8_IMUX32,38708,4,255,4,fail_closed
14,8,8,43690,X15Y8_RMUX00,X14Y8_IMUX32,38824,0,255,0,fail_closed
14,8,8,43690,X15Y8_RMUX00,X14Y8_IMUX32,38825,64,64,64,fail_closed
14,8,8,43690,X15Y8_RMUX00,X14Y8_IMUX32,36855,8,8,8,fail_closed
14,8,8,43690,X15Y8_RMUX00,X14Y8_IMUX32,36971,2,2,2,fail_closed
14,4,0,65280,X14Y4_RMUX71,X14Y4_IMUX03,65852,120,255,0,allow
14,4,0,65280,X14Y4_RMUX71,X14Y4_IMUX03,65968,120,255,0,allow
14,4,0,65280,X14Y4_RMUX71,X14Y4_IMUX03,66084,1,255,1,allow
14,4,0,65280,X14Y4_RMUX71,X14Y4_IMUX03,66200,0,255,0,allow
14,4,0,65280,X14Y4_RMUX71,X14Y4_IMUX03,65853,0,2,2,allow
14,4,0,65280,X14Y4_RMUX71,X14Y4_IMUX03,65969,0,8,8,allow
14,4,0,65280,X14Y4_RMUX71,X14Y4_IMUX03,65855,2,2,2,allow
14,4,0,65280,X14Y4_RMUX71,X14Y4_IMUX03,65971,2,2,2,allow
14,7,3,65280,X14Y7_RMUX47,X14Y7_IMUX15,43580,120,255,0,allow
14,7,3,65280,X14Y7_RMUX47,X14Y7_IMUX15,43696,120,255,0,allow
14,7,3,65280,X14Y7_RMUX47,X14Y7_IMUX15,43812,4,255,4,allow
14,7,3,65280,X14Y7_RMUX47,X14Y7_IMUX15,43928,0,255,0,allow
