table,src_res,src_x,src_y,dst_res,dst_x,dst_y,codeword,owner,owner_evidence,reason
rrg_edges_full.csv,IMUX01,18,7,IMUX35,18,7,3;9,X18Y7_IMUX05,4,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX03,14,4,IMUX35,14,4,3;9,X14Y4_IMUX51,14,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX03,15,9,IMUX27,15,9,2;9,X15Y9_IMUX11,26,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX03,16,3,IMUX43,16,3,0;9,X16Y3_IMUX00,2,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX03,16,6,IMUX35,16,6,3;9,X16Y6_IMUX11,20,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX03,16,8,IMUX19,16,8,0;9,X16Y8_IMUX02,2,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX03,18,7,IMUX27,18,7,2;9,X18Y7_IMUX11,21,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX05,10,1,IMUX01,10,1,0;9,X10Y1_IMUX06,13,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX05,15,7,IMUX01,15,7,0;9,X15Y7_IMUX06,10,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX05,18,1,IMUX15,18,1,3;9,X18Y1_IMUX09,5,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX09,16,1,IMUX51,16,1,3;9,X16Y1_IMUX15,14,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX11,20,5,IMUX59,20,5,1;9,X20Y5_IMUX07,10,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX15,15,7,IMUX43,15,7,4;9,X15Y7_IMUX23,26,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX15,15,7,IMUX51,15,7,3;9,X15Y7_IMUX17,2,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX15,16,8,IMUX51,16,8,3;9,X16Y8_IMUX23,16,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX17,19,5,IMUX31,19,5,7;9,X19Y5_IMUX37,1,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX18,15,2,IMUX55,15,2,6;9,X15Y2_IMUX34,1,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX19,8,1,IMUX35,8,1,0;9,X8Y1_IMUX23,24,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX21,19,3,IMUX31,19,3,1;9,X19Y3_IMUX11,27,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX25,16,1,IMUX11,16,1,3;9,X16Y1_IMUX27,20,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX25,16,11,IMUX43,16,11,7;9,X16Y11_IMUX51,33,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX25,16,2,IMUX35,16,2,0;9,X16Y2_IMUX19,24,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX25,20,4,IMUX43,20,4,7;9,X20Y4_IMUX29,3,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX27,14,7,IMUX55,14,7,8;9,X14Y7_IMUX59,54,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX27,5,3,IMUX55,5,3,8;9,X5Y3_IMUX01,1,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX29,20,3,IMUX11,20,3,5;9,X20Y3_IMUX23,27,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX31,14,1,IMUX21,14,1,3;9,X14Y1_IMUX45,11,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX31,14,4,IMUX23,14,4,0;9,X14Y4_IMUX01,3,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX31,14,7,IMUX19,14,7,1;9,X14Y7_IMUX11,25,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX31,15,6,IMUX19,15,6,1;9,X15Y6_IMUX11,38,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX31,16,2,IMUX19,16,2,1;9,X16Y2_IMUX11,24,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX31,19,12,IMUX19,19,12,1;9,X19Y12_IMUX11,38,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX31,20,10,IMUX19,20,10,1;9,X20Y10_IMUX11,44,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX31,20,9,IMUX19,20,9,1;9,X20Y9_IMUX09,2,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX34,14,9,IMUX23,14,9,0;9,X14Y9_IMUX02,1,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX35,11,3,IMUX27,11,3,0;9,X11Y3_IMUX19,31,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX35,15,3,IMUX27,15,3,0;9,X15Y3_IMUX19,32,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX35,16,9,IMUX27,16,9,0;9,X16Y9_IMUX19,34,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX37,14,7,IMUX13,14,7,2;9,X14Y7_IMUX53,14,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX37,16,7,IMUX29,16,7,4;9,X16Y7_IMUX45,5,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX43,14,7,IMUX13,14,7,2;9,X14Y7_IMUX53,14,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX43,15,9,IMUX11,15,9,6;9,X15Y9_IMUX03,28,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX47,14,5,IMUX29,14,5,4;9,X14Y5_IMUX57,10,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX49,6,3,IMUX13,6,3,2;9,X6Y3_IMUX53,4,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX50,20,6,IMUX09,20,6,1;9,X20Y6_IMUX62,3,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX51,14,7,IMUX13,14,7,2;9,X14Y7_IMUX53,14,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX51,15,6,IMUX15,15,6,8;9,X15Y6_IMUX19,36,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX51,19,3,IMUX31,19,3,1;9,X19Y3_IMUX11,27,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX51,19,9,IMUX21,19,9,3;9,X19Y9_IMUX45,7,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX51,9,2,IMUX15,9,2,8;9,X9Y2_IMUX19,23,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX53,16,1,IMUX15,16,1,8;9,X16Y1_IMUX19,24,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX55,20,5,IMUX21,20,5,3;9,X20Y5_IMUX33,4,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX55,20,9,IMUX47,20,9,2;9,X20Y9_IMUX25,1,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX57,20,4,IMUX63,20,4,1;9,X20Y4_IMUX55,49,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX59,12,1,IMUX51,12,1,8;9,X12Y1_IMUX56,1,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX59,12,3,IMUX03,12,3,2;9,X12Y3_IMUX51,10,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX59,14,7,IMUX15,14,7,8;9,X14Y7_IMUX19,19,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX59,19,1,IMUX03,19,1,2;9,X19Y1_IMUX43,15,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX61,14,5,IMUX29,14,5,4;9,X14Y5_IMUX57,10,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX63,14,9,IMUX23,14,9,0;9,X14Y9_IMUX02,1,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,IMUX63,15,9,IMUX23,15,9,0;9,X15Y9_IMUX02,2,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,RMUX02,14,5,RMUX18,14,4,6;9,X14Y8_RMUX50,1,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,RMUX02,15,6,RMUX18,15,5,6;9,X15Y9_RMUX50,9,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,RMUX02,17,4,RMUX18,17,3,6;9,X17Y7_RMUX50,20,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,RMUX02,18,7,RMUX18,18,6,6;9,X18Y10_RMUX50,15,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,RMUX02,19,2,RMUX18,19,1,6;9,X19Y5_RMUX50,29,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,RMUX02,19,5,RMUX18,19,4,6;9,X19Y8_RMUX50,73,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,RMUX02,19,6,RMUX18,19,5,6;9,X19Y9_RMUX50,30,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,RMUX02,20,2,RMUX18,20,1,6;9,X20Y5_RMUX50,25,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,RMUX03,10,1,RMUX14,11,1,5;8,X7Y1_RMUX51,2,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,RMUX03,10,1,RMUX15,10,1,4;8,X7Y1_RMUX51,93,codeword attributed to a uniquely vendor-used member
rrg_edges_full.csv,RMUX03,10,2,RMUX14,11,2,5;8,X7Y2_RMUX51,62,codeword attributed to a uniquely vendor-used member
