x,y,feature,byte,mask
1,1,CFG_BYPASSEN[0],89940,16
1,1,CFG_BYPASSEN[10],95044,16
1,1,CFG_BYPASSEN[11],95508,16
1,1,CFG_BYPASSEN[12],95972,16
1,1,CFG_BYPASSEN[13],96436,16
1,1,CFG_BYPASSEN[14],96900,16
1,1,CFG_BYPASSEN[15],97364,16
1,1,CFG_BYPASSEN[1],90404,16
1,1,CFG_BYPASSEN[2],90868,16
1,1,CFG_BYPASSEN[3],91332,16
1,1,CFG_BYPASSEN[4],91796,16
1,1,CFG_BYPASSEN[5],92260,16
1,1,CFG_BYPASSEN[6],92724,16
1,1,CFG_BYPASSEN[7],93188,16
1,1,CFG_BYPASSEN[8],94116,16
1,1,CFG_BYPASSEN[9],94580,16
1,1,CFG_CARRY_CRL[0],89824,8
1,1,CFG_CARRY_CRL[10],94928,8
1,1,CFG_CARRY_CRL[11],95392,8
1,1,CFG_CARRY_CRL[12],95856,8
1,1,CFG_CARRY_CRL[13],96320,8
1,1,CFG_CARRY_CRL[14],96784,8
1,1,CFG_CARRY_CRL[15],97248,8
1,1,CFG_CARRY_CRL[1],90288,8
1,1,CFG_CARRY_CRL[2],90752,8
1,1,CFG_CARRY_CRL[3],91216,8
1,1,CFG_CARRY_CRL[4],91680,8
1,1,CFG_CARRY_CRL[5],92144,8
1,1,CFG_CARRY_CRL[6],92608,8
1,1,CFG_CARRY_CRL[7],93072,8
1,1,CFG_CARRY_CRL[8],94000,8
1,1,CFG_CARRY_CRL[9],94464,8
1,1,CFG_LUTCMUX[0],89940,8
1,1,CFG_LUTCMUX[10],92260,8
1,1,CFG_LUTCMUX[11],91912,8
1,1,CFG_LUTCMUX[12],92724,8
1,1,CFG_LUTCMUX[13],92376,8
1,1,CFG_LUTCMUX[14],93188,8
1,1,CFG_LUTCMUX[15],92840,8
1,1,CFG_LUTCMUX[16],94116,8
1,1,CFG_LUTCMUX[17],93768,8
1,1,CFG_LUTCMUX[18],94580,8
1,1,CFG_LUTCMUX[19],94232,8
1,1,CFG_LUTCMUX[1],89592,8
1,1,CFG_LUTCMUX[20],95044,8
1,1,CFG_LUTCMUX[21],94696,8
1,1,CFG_LUTCMUX[22],95508,8
1,1,CFG_LUTCMUX[23],95160,8
1,1,CFG_LUTCMUX[24],95972,8
1,1,CFG_LUTCMUX[25],95624,8
1,1,CFG_LUTCMUX[26],96436,8
1,1,CFG_LUTCMUX[27],96088,8
1,1,CFG_LUTCMUX[28],96900,8
1,1,CFG_LUTCMUX[29],96552,8
1,1,CFG_LUTCMUX[2],90404,8
1,1,CFG_LUTCMUX[30],97364,8
1,1,CFG_LUTCMUX[31],97016,8
1,1,CFG_LUTCMUX[3],90056,8
1,1,CFG_LUTCMUX[4],90868,8
1,1,CFG_LUTCMUX[5],90520,8
1,1,CFG_LUTCMUX[6],91332,8
1,1,CFG_LUTCMUX[7],90984,8
1,1,CFG_LUTCMUX[8],91796,8
1,1,CFG_LUTCMUX[9],91448,8
1,2,CFG_BYPASSEN[0],82052,16
1,2,CFG_BYPASSEN[10],87156,16
1,2,CFG_BYPASSEN[11],87620,16
1,2,CFG_BYPASSEN[12],88084,16
1,2,CFG_BYPASSEN[13],88548,16
1,2,CFG_BYPASSEN[14],89012,16
1,2,CFG_BYPASSEN[15],89476,16
1,2,CFG_BYPASSEN[1],82516,16
1,2,CFG_BYPASSEN[2],82980,16
1,2,CFG_BYPASSEN[3],83444,16
1,2,CFG_BYPASSEN[4],83908,16
1,2,CFG_BYPASSEN[5],84372,16
1,2,CFG_BYPASSEN[6],84836,16
1,2,CFG_BYPASSEN[7],85300,16
1,2,CFG_BYPASSEN[8],86228,16
1,2,CFG_BYPASSEN[9],86692,16
1,2,CFG_CARRY_CRL[0],81936,8
1,2,CFG_CARRY_CRL[10],87040,8
1,2,CFG_CARRY_CRL[11],87504,8
1,2,CFG_CARRY_CRL[12],87968,8
1,2,CFG_CARRY_CRL[13],88432,8
1,2,CFG_CARRY_CRL[14],88896,8
1,2,CFG_CARRY_CRL[15],89360,8
1,2,CFG_CARRY_CRL[1],82400,8
1,2,CFG_CARRY_CRL[2],82864,8
1,2,CFG_CARRY_CRL[3],83328,8
1,2,CFG_CARRY_CRL[4],83792,8
1,2,CFG_CARRY_CRL[5],84256,8
1,2,CFG_CARRY_CRL[6],84720,8
1,2,CFG_CARRY_CRL[7],85184,8
1,2,CFG_CARRY_CRL[8],86112,8
1,2,CFG_CARRY_CRL[9],86576,8
1,2,CFG_LUTCMUX[0],82052,8
1,2,CFG_LUTCMUX[10],84372,8
1,2,CFG_LUTCMUX[11],84024,8
1,2,CFG_LUTCMUX[12],84836,8
1,2,CFG_LUTCMUX[13],84488,8
1,2,CFG_LUTCMUX[14],85300,8
1,2,CFG_LUTCMUX[15],84952,8
1,2,CFG_LUTCMUX[16],86228,8
1,2,CFG_LUTCMUX[17],85880,8
1,2,CFG_LUTCMUX[18],86692,8
1,2,CFG_LUTCMUX[19],86344,8
1,2,CFG_LUTCMUX[1],81704,8
1,2,CFG_LUTCMUX[20],87156,8
1,2,CFG_LUTCMUX[21],86808,8
1,2,CFG_LUTCMUX[22],87620,8
1,2,CFG_LUTCMUX[23],87272,8
1,2,CFG_LUTCMUX[24],88084,8
1,2,CFG_LUTCMUX[25],87736,8
1,2,CFG_LUTCMUX[26],88548,8
1,2,CFG_LUTCMUX[27],88200,8
1,2,CFG_LUTCMUX[28],89012,8
1,2,CFG_LUTCMUX[29],88664,8
1,2,CFG_LUTCMUX[2],82516,8
1,2,CFG_LUTCMUX[30],89476,8
1,2,CFG_LUTCMUX[31],89128,8
1,2,CFG_LUTCMUX[3],82168,8
1,2,CFG_LUTCMUX[4],82980,8
1,2,CFG_LUTCMUX[5],82632,8
1,2,CFG_LUTCMUX[6],83444,8
1,2,CFG_LUTCMUX[7],83096,8
1,2,CFG_LUTCMUX[8],83908,8
1,2,CFG_LUTCMUX[9],83560,8
1,3,CFG_BYPASSEN[0],74164,16
1,3,CFG_BYPASSEN[10],79268,16
1,3,CFG_BYPASSEN[11],79732,16
1,3,CFG_BYPASSEN[12],80196,16
1,3,CFG_BYPASSEN[13],80660,16
1,3,CFG_BYPASSEN[14],81124,16
1,3,CFG_BYPASSEN[15],81588,16
1,3,CFG_BYPASSEN[1],74628,16
1,3,CFG_BYPASSEN[2],75092,16
1,3,CFG_BYPASSEN[3],75556,16
1,3,CFG_BYPASSEN[4],76020,16
1,3,CFG_BYPASSEN[5],76484,16
1,3,CFG_BYPASSEN[6],76948,16
1,3,CFG_BYPASSEN[7],77412,16
1,3,CFG_BYPASSEN[8],78340,16
1,3,CFG_BYPASSEN[9],78804,16
1,3,CFG_CARRY_CRL[0],74048,8
1,3,CFG_CARRY_CRL[10],79152,8
1,3,CFG_CARRY_CRL[11],79616,8
1,3,CFG_CARRY_CRL[12],80080,8
1,3,CFG_CARRY_CRL[13],80544,8
1,3,CFG_CARRY_CRL[14],81008,8
1,3,CFG_CARRY_CRL[15],81472,8
1,3,CFG_CARRY_CRL[1],74512,8
1,3,CFG_CARRY_CRL[2],74976,8
1,3,CFG_CARRY_CRL[3],75440,8
1,3,CFG_CARRY_CRL[4],75904,8
1,3,CFG_CARRY_CRL[5],76368,8
1,3,CFG_CARRY_CRL[6],76832,8
1,3,CFG_CARRY_CRL[7],77296,8
1,3,CFG_CARRY_CRL[8],78224,8
1,3,CFG_CARRY_CRL[9],78688,8
1,3,CFG_LUTCMUX[0],74164,8
1,3,CFG_LUTCMUX[10],76484,8
1,3,CFG_LUTCMUX[11],76136,8
1,3,CFG_LUTCMUX[12],76948,8
1,3,CFG_LUTCMUX[13],76600,8
1,3,CFG_LUTCMUX[14],77412,8
1,3,CFG_LUTCMUX[15],77064,8
1,3,CFG_LUTCMUX[16],78340,8
1,3,CFG_LUTCMUX[17],77992,8
1,3,CFG_LUTCMUX[18],78804,8
1,3,CFG_LUTCMUX[19],78456,8
1,3,CFG_LUTCMUX[1],73816,8
1,3,CFG_LUTCMUX[20],79268,8
1,3,CFG_LUTCMUX[21],78920,8
1,3,CFG_LUTCMUX[22],79732,8
1,3,CFG_LUTCMUX[23],79384,8
1,3,CFG_LUTCMUX[24],80196,8
1,3,CFG_LUTCMUX[25],79848,8
