schema,device,package,profile,class,version,lane,pin,source_bel,source_port,sink_bel,sink_port,step,src_wire,dst_wire,evidence
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,0,PIN_25,X14Y11_SLICE4,Q,X0Y4_IOB0,I,0,X14Y11_OMUX13,X14Y11_OMUX12,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,0,PIN_25,X14Y11_SLICE4,Q,X0Y4_IOB0,I,1,X14Y11_OMUX12,X15Y11_RMUX44,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,0,PIN_25,X14Y11_SLICE4,Q,X0Y4_IOB0,I,2,X15Y11_RMUX44,X15Y8_RMUX80,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,0,PIN_25,X14Y11_SLICE4,Q,X0Y4_IOB0,I,3,X15Y8_RMUX80,X15Y4_RMUX26,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,0,PIN_25,X14Y11_SLICE4,Q,X0Y4_IOB0,I,4,X15Y4_RMUX26,X11Y4_RMUX08,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,0,PIN_25,X14Y11_SLICE4,Q,X0Y4_IOB0,I,5,X11Y4_RMUX08,X12Y4_RMUX26,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,0,PIN_25,X14Y11_SLICE4,Q,X0Y4_IOB0,I,6,X12Y4_RMUX26,X8Y4_RMUX03,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,0,PIN_25,X14Y11_SLICE4,Q,X0Y4_IOB0,I,7,X8Y4_RMUX03,X4Y4_RMUX20,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,0,PIN_25,X14Y11_SLICE4,Q,X0Y4_IOB0,I,8,X4Y4_RMUX20,X0Y4_RMUX30,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,0,PIN_25,X14Y11_SLICE4,Q,X0Y4_IOB0,I,9,X0Y4_RMUX30,X0Y4_IOMUX00,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
1,AGRV2KL48,L48,physical-io,L48_LEFT_OUTPUT,1,1,PIN_26,X14Y11_SLICE5,Q,X0Y4_IOB1,I,0,X14Y11_OMUX16,X14Y11_OMUX15,qualification/left_edge_output_evidence.jsonl#2026-07-15-l48-pin25-28-simultaneous
