src_res,src_x,src_y,dst_res,dst_x,dst_y,source,sel_lo,sel_hi,passing_images
RMUX07,10,1,RMUX06,10,1,vendor_passing_image,4,7,1
RMUX50,10,1,RMUX52,10,1,vendor_passing_image,4,7,19
RMUX87,10,1,RMUX89,10,1,vendor_passing_image,4,7,1
RMUX07,11,1,RMUX06,11,1,vendor_passing_image,4,7,2
RMUX44,11,1,RMUX46,11,1,vendor_passing_image,4,7,2
RMUX87,11,1,RMUX89,11,1,vendor_passing_image,4,7,3
RMUX02,11,4,RMUX04,11,4,vendor_passing_image,4,7,14
RMUX62,11,4,RMUX64,11,4,vendor_passing_image,4,7,2
RMUX07,12,1,RMUX06,12,1,vendor_passing_image,4,7,2
RMUX50,12,1,RMUX52,12,1,vendor_passing_image,4,7,24
RMUX21,14,1,RMUX23,14,1,vendor_passing_image,4,7,1
RMUX87,14,1,RMUX89,14,1,vendor_passing_image,4,7,3
RMUX26,14,5,RMUX28,14,5,vendor_passing_image,4,7,31
RMUX63,14,5,RMUX65,14,5,vendor_passing_image,4,7,3
RMUX93,14,5,RMUX95,14,5,vendor_passing_image,4,7,2
RMUX07,15,1,RMUX06,15,1,vendor_passing_image,4,7,4
RMUX21,15,1,RMUX23,15,1,vendor_passing_image,4,7,3
RMUX50,15,1,RMUX52,15,1,vendor_passing_image,4,7,54
RMUX87,15,1,RMUX89,15,1,vendor_passing_image,4,7,2
RMUX07,16,1,RMUX06,16,1,vendor_passing_image,4,7,1
RMUX21,16,1,RMUX23,16,1,vendor_passing_image,4,7,1
RMUX44,16,1,RMUX46,16,1,vendor_passing_image,4,7,2
RMUX50,16,1,RMUX52,16,1,vendor_passing_image,4,7,45
RMUX87,16,1,RMUX89,16,1,vendor_passing_image,4,7,4
RMUX85,17,12,RMUX84,17,12,vendor_passing_image,4,7,1
RMUX07,17,1,RMUX06,17,1,vendor_passing_image,4,7,3
RMUX21,17,1,RMUX23,17,1,vendor_passing_image,4,7,1
RMUX44,17,1,RMUX46,17,1,vendor_passing_image,4,7,2
RMUX50,17,1,RMUX52,17,1,vendor_passing_image,4,7,50
RMUX87,17,1,RMUX89,17,1,vendor_passing_image,4,7,5
RMUX07,18,1,RMUX06,18,1,vendor_passing_image,4,7,3
RMUX21,18,1,RMUX23,18,1,vendor_passing_image,4,7,1
RMUX44,18,1,RMUX46,18,1,vendor_passing_image,4,7,1
RMUX50,18,1,RMUX52,18,1,vendor_passing_image,4,7,50
RMUX87,18,1,RMUX89,18,1,vendor_passing_image,4,7,2
RMUX85,19,12,RMUX84,19,12,vendor_passing_image,4,7,1
RMUX21,19,1,RMUX23,19,1,vendor_passing_image,4,7,3
RMUX44,19,1,RMUX46,19,1,vendor_passing_image,4,7,3
RMUX50,19,1,RMUX52,19,1,vendor_passing_image,4,7,38
RMUX87,19,1,RMUX89,19,1,vendor_passing_image,4,7,2
RMUX50,1,1,RMUX52,1,1,vendor_passing_image,4,7,4
RMUX80,1,1,RMUX82,1,1,vendor_passing_image,4,7,3
RMUX56,1,3,RMUX58,1,3,vendor_passing_image,4,7,2
RMUX26,1,4,RMUX28,1,4,vendor_passing_image,4,7,2
RMUX01,20,12,RMUX07,19,12,vendor_passing_image,1,8,5
RMUX01,20,12,RMUX16,19,12,vendor_passing_image,1,8,3
RMUX01,20,12,RMUX22,19,12,vendor_passing_image,1,8,6
RMUX01,20,12,RMUX23,19,12,vendor_passing_image,1,8,5
RMUX01,20,12,RMUX00,20,12,vendor_passing_image,4,7,13
RMUX01,20,12,RMUX07,21,12,vendor_passing_image,2,8,2
RMUX81,20,12,RMUX34,19,12,vendor_passing_image,1,8,5
RMUX81,20,12,RMUX35,19,12,vendor_passing_image,1,8,9
RMUX81,20,12,RMUX44,19,12,vendor_passing_image,1,8,2
RMUX81,20,12,RMUX28,20,12,vendor_passing_image,0,8,1
RMUX81,20,12,RMUX29,20,12,vendor_passing_image,0,8,1
RMUX81,20,12,RMUX34,20,12,vendor_passing_image,0,8,2
