src_res,src_x,src_y,dst_res,dst_x,dst_y,sel_lo,sel_hi,passing_images,class
RMUX73,17,10,RMUX00,17,9,3,9,30,A
RMUX73,17,12,RMUX00,17,11,3,9,24,A
RMUX61,20,12,RMUX54,19,12,1,8,23,A
RMUX73,17,11,RMUX00,17,10,3,9,15,A
RMUX73,16,11,RMUX00,16,10,3,9,14,A
RMUX07,14,2,RMUX24,14,3,2,9,11,A
RMUX73,15,11,RMUX00,15,10,3,9,11,A
RMUX73,14,3,RMUX00,14,2,3,9,10,A
RMUX25,14,2,RMUX00,14,4,0,9,9,A
RMUX25,20,8,RMUX00,20,10,0,9,9,A
RMUX25,6,1,RMUX00,6,2,6,8,8,A
RMUX73,14,2,RMUX00,14,1,3,9,8,A
RMUX25,14,1,RMUX00,14,2,6,8,7,A
RMUX25,14,2,RMUX00,14,3,6,8,7,A
RMUX73,20,11,RMUX00,20,7,6,9,7,A
RMUX49,19,12,RMUX00,15,12,1,8,6,A
RMUX73,4,2,RMUX00,4,1,3,9,5,A
RMUX73,14,4,RMUX00,14,3,3,9,5,A
RMUX73,2,4,RMUX00,2,3,3,9,4,A
RMUX73,5,4,RMUX00,5,3,3,9,4,A
RMUX49,18,3,RMUX00,14,3,1,8,4,A
RMUX25,3,1,RMUX00,3,2,6,8,3,A
RMUX25,3,2,RMUX00,3,3,6,8,3,A
RMUX49,18,1,RMUX00,14,1,1,8,3,A
RMUX25,14,3,RMUX00,14,4,6,8,3,A
RMUX49,6,1,RMUX00,2,1,1,8,2,A
RMUX25,2,3,RMUX00,2,2,6,9,2,A
RMUX49,6,3,RMUX00,2,3,1,8,2,A
RMUX25,14,1,RMUX00,14,3,0,9,2,A
RMUX73,14,5,RMUX00,14,4,3,9,2,A
RMUX73,2,2,RMUX00,2,1,3,9,1,A
RMUX07,2,2,RMUX24,2,3,2,9,1,A
RMUX25,3,3,RMUX00,3,2,6,9,1,A
RMUX73,14,6,RMUX00,14,2,6,9,1,A
RMUX49,18,2,RMUX00,14,2,1,8,1,A
RMUX49,18,4,RMUX00,14,4,1,8,1,A
RMUX67,19,11,RMUX78,19,8,5,9,85,D
RMUX50,16,2,RMUX12,16,1,3,9,66,D
RMUX50,17,2,RMUX12,17,1,3,9,65,D
RMUX80,18,2,RMUX36,18,1,3,9,65,D
OMUX29,16,11,RMUX54,16,11,1,7,61,D
RMUX73,21,2,RMUX06,21,1,3,9,60,D
OMUX23,16,10,RMUX36,16,10,3,7,58,D
RMUX56,19,10,RMUX42,18,10,5,7,58,D
RMUX50,20,2,RMUX12,20,1,3,9,58,D
OMUX29,15,3,RMUX54,15,3,1,7,56,D
RMUX80,16,2,RMUX36,16,1,3,9,56,D
OMUX23,15,1,RMUX36,15,1,3,7,55,D
OMUX29,15,6,RMUX54,15,6,1,7,55,D
OMUX41,18,12,RMUX78,18,12,1,7,55,D
RMUX80,20,2,RMUX36,20,1,3,9,55,D
RMUX44,21,2,RMUX84,21,1,3,9,55,D
RMUX80,17,2,RMUX36,17,1,3,9,54,D
OMUX29,18,11,RMUX54,18,11,1,7,54,D
RMUX50,19,2,RMUX12,19,1,3,9,54,D
RMUX50,15,2,RMUX12,15,1,3,9,52,D
RMUX80,15,2,RMUX36,15,1,3,9,52,D
OMUX29,20,10,RMUX54,20,10,1,7,52,D
RMUX67,16,2,RMUX78,16,1,3,9,51,D
RMUX67,17,2,RMUX78,17,1,3,9,51,D
RMUX00,19,12,IMUX48,18,12,0,10,51,D
RMUX67,19,2,RMUX78,19,1,3,9,51,D
RMUX50,20,2,RMUX18,20,1,3,9,51,D
OMUX29,15,2,RMUX54,15,2,1,7,50,D
OMUX29,15,4,RMUX54,15,4,1,7,50,D
RMUX50,16,10,RMUX12,16,9,3,9,50,D
RMUX56,17,10,RMUX42,16,10,5,7,50,D
OMUX29,17,8,RMUX54,17,8,1,7,50,D
RMUX20,19,9,RMUX90,17,9,6,7,50,D
RMUX67,18,4,RMUX78,18,3,3,9,50,D
OMUX29,20,3,RMUX54,20,3,1,7,50,D
RMUX56,17,7,RMUX42,16,7,5,7,49,D
OMUX29,17,9,RMUX54,17,9,1,7,49,D
RMUX50,18,4,RMUX12,18,3,3,9,49,D
OMUX41,18,8,RMUX78,18,8,1,7,49,D
RMUX50,19,8,RMUX12,19,7,3,9,49,D
RMUX37,21,2,RMUX54,21,1,3,9,49,D
RMUX56,16,2,RMUX42,15,2,5,7,48,D
OMUX23,15,3,RMUX36,15,3,3,7,48,D
RMUX50,16,2,RMUX18,16,1,3,9,48,D
OMUX29,17,2,RMUX54,17,2,1,7,48,D
RMUX80,18,6,RMUX36,18,5,3,9,48,D
RMUX24,19,9,IMUX04,18,9,0,10,48,D
OMUX41,19,12,RMUX78,19,12,1,7,48,D
RMUX67,20,2,RMUX78,20,1,3,9,48,D
RMUX73,21,4,RMUX06,21,3,3,9,48,D
RMUX80,12,2,RMUX36,12,1,3,9,47,D
OMUX23,15,2,RMUX36,15,2,3,7,47,D
RMUX50,16,6,RMUX12,16,5,3,9,47,D
RMUX56,17,9,RMUX42,16,9,5,7,47,D
RMUX50,17,8,RMUX18,17,7,3,9,47,D
RMUX56,19,8,RMUX42,18,8,5,7,47,D
RMUX80,19,2,RMUX36,19,1,3,9,47,D
RMUX50,19,4,RMUX12,19,3,3,9,47,D
OMUX11,15,2,RMUX18,15,2,3,7,46,D
OMUX41,15,2,RMUX78,15,2,1,7,46,D
OMUX02,15,3,RMUX00,15,3,0,7,46,D
OMUX23,15,4,RMUX36,15,4,3,7,46,D
RMUX56,16,10,RMUX42,15,10,5,7,46,D
OMUX23,16,7,RMUX36,16,7,3,7,46,D
OMUX29,16,8,RMUX54,16,8,1,7,46,D
RMUX56,18,10,RMUX42,17,10,5,7,46,D
RMUX67,18,2,RMUX78,18,1,3,9,46,D
RMUX50,19,2,RMUX18,19,1,3,9,46,D
RMUX50,19,8,RMUX18,19,7,3,9,46,D
RMUX67,15,2,RMUX78,15,1,3,9,45,D
OMUX29,15,5,RMUX54,15,5,1,7,45,D
OMUX23,15,11,RMUX36,15,11,3,7,45,D
OMUX29,16,4,RMUX54,16,4,1,7,45,D
OMUX23,16,9,RMUX36,16,9,3,7,45,D
OMUX29,16,9,RMUX54,16,9,1,7,45,D
OMUX29,16,10,RMUX54,16,10,1,7,45,D
OMUX41,17,11,RMUX78,17,11,1,7,45,D
RMUX50,18,2,RMUX18,18,1,3,9,45,D
RMUX80,18,4,RMUX36,18,3,3,9,45,D
