src_res,src_x,src_y,dst_res,dst_x,dst_y,source
RMUX10,19,12,CtrlMUX00,19,12,"vendor-image:clk_rst_high.bin (board PASS, bytes 6438/6439/6554/6555)"
OMUX01,14,11,CtrlMUX00,14,11,ledger:shared_control_pipwit
OMUX01,15,12,CtrlMUX00,15,12,ledger:shared_control_pipwit
OMUX01,16,10,CtrlMUX00,16,10,ledger:shared_control_pipwit
OMUX01,19,11,CtrlMUX00,19,11,ledger:shared_control_pipwit
OMUX07,15,10,CtrlMUX00,15,10,ledger:shared_control_pipwit
OMUX07,15,12,CtrlMUX00,15,12,ledger:shared_control_pipwit
OMUX07,17,12,CtrlMUX00,17,12,ledger:shared_control_pipwit
OMUX13,14,10,CtrlMUX00,14,10,ledger:shared_control_pipwit
OMUX13,15,11,CtrlMUX00,15,11,ledger:shared_control_pipwit
OMUX13,16,12,CtrlMUX00,16,12,ledger:shared_control_pipwit
OMUX13,16,9,CtrlMUX00,16,9,ledger:shared_control_pipwit
OMUX13,17,9,CtrlMUX00,17,9,ledger:shared_control_pipwit
OMUX13,18,11,CtrlMUX00,18,11,ledger:shared_control_pipwit
OMUX19,16,11,CtrlMUX00,16,11,ledger:shared_control_pipwit
OMUX25,16,11,CtrlMUX00,16,11,ledger:shared_control_pipwit
OMUX25,16,12,CtrlMUX00,16,12,ledger:shared_control_pipwit
OMUX31,14,10,CtrlMUX00,14,10,ledger:shared_control_pipwit
OMUX31,15,10,CtrlMUX00,15,10,ledger:shared_control_pipwit
OMUX37,14,10,CtrlMUX00,14,10,ledger:shared_control_pipwit
OMUX37,14,5,CtrlMUX00,14,5,ledger:shared_control_pipwit
OMUX37,15,10,CtrlMUX00,15,10,ledger:shared_control_pipwit
OMUX37,15,12,CtrlMUX00,15,12,ledger:shared_control_pipwit
OMUX37,15,9,CtrlMUX00,15,9,ledger:shared_control_pipwit
OMUX37,16,11,CtrlMUX00,16,11,ledger:shared_control_pipwit
OMUX37,16,9,CtrlMUX00,16,9,ledger:shared_control_pipwit
OMUX43,14,11,CtrlMUX00,14,11,ledger:shared_control_pipwit
OMUX43,14,12,CtrlMUX00,14,12,ledger:shared_control_pipwit
