ctrl_instance,source_res,sel_lo,sel_hi,offset_lo,offset_hi
0,OMUX01,0,8,0,8
0,OMUX07,1,8,1,8
0,OMUX13,2,8,2,8
0,OMUX19,3,8,3,8
0,OMUX25,4,8,4,8
0,OMUX31,5,8,5,8
0,OMUX37,6,8,6,8
0,OMUX43,7,8,7,8
0,RMUX04,0,10,0,10
0,RMUX10,1,10,1,10
0,RMUX16,2,10,2,10
0,RMUX22,3,10,3,10
0,RMUX28,4,10,4,10
0,RMUX34,5,10,5,10
0,RMUX40,6,10,6,10
0,RMUX46,7,10,7,10
0,RMUX52,0,11,0,11
0,RMUX58,1,11,1,11
0,RMUX64,2,11,2,11
0,RMUX70,3,11,3,11
0,RMUX76,4,11,4,11
0,RMUX82,5,11,5,11
0,RMUX88,6,11,6,11
0,RMUX94,7,11,7,11
1,OMUX04,12,20,0,8
1,OMUX10,13,20,1,8
1,OMUX16,14,20,2,8
1,OMUX22,15,20,3,8
1,OMUX28,16,20,4,8
1,OMUX34,17,20,5,8
1,OMUX40,18,20,6,8
1,OMUX46,19,20,7,8
1,RMUX05,12,22,0,10
1,RMUX11,13,22,1,10
1,RMUX17,14,22,2,10
1,RMUX23,15,22,3,10
1,RMUX29,16,22,4,10
1,RMUX35,17,22,5,10
1,RMUX41,18,22,6,10
1,RMUX47,19,22,7,10
1,RMUX53,12,23,0,11
1,RMUX59,13,23,1,11
1,RMUX65,14,23,2,11
1,RMUX71,15,23,3,11
1,RMUX77,16,23,4,11
1,RMUX83,17,23,5,11
1,RMUX89,18,23,6,11
1,RMUX95,19,23,7,11
2,OMUX01,24,32,0,8
2,OMUX07,25,32,1,8
2,OMUX13,26,32,2,8
2,OMUX19,27,32,3,8
2,OMUX25,28,32,4,8
2,OMUX31,29,32,5,8
2,OMUX37,30,32,6,8
2,OMUX43,31,32,7,8
2,RMUX04,24,34,0,10
2,RMUX10,25,34,1,10
2,RMUX16,26,34,2,10
2,RMUX22,27,34,3,10
2,RMUX28,28,34,4,10
2,RMUX34,29,34,5,10
2,RMUX40,30,34,6,10
2,RMUX46,31,34,7,10
2,RMUX52,24,35,0,11
2,RMUX58,25,35,1,11
2,RMUX64,26,35,2,11
2,RMUX70,27,35,3,11
2,RMUX76,28,35,4,11
2,RMUX82,29,35,5,11
2,RMUX88,30,35,6,11
2,RMUX94,31,35,7,11
3,OMUX04,36,44,0,8
3,OMUX10,37,44,1,8
3,OMUX16,38,44,2,8
3,OMUX22,39,44,3,8
3,OMUX28,40,44,4,8
3,OMUX34,41,44,5,8
3,OMUX40,42,44,6,8
3,OMUX46,43,44,7,8
3,RMUX05,36,46,0,10
3,RMUX11,37,46,1,10
3,RMUX17,38,46,2,10
3,RMUX23,39,46,3,10
3,RMUX29,40,46,4,10
3,RMUX35,41,46,5,10
3,RMUX41,42,46,6,10
3,RMUX47,43,46,7,10
3,RMUX53,36,47,0,11
3,RMUX59,37,47,1,11
3,RMUX65,38,47,2,11
3,RMUX71,39,47,3,11
3,RMUX77,40,47,4,11
3,RMUX83,41,47,5,11
3,RMUX89,42,47,6,11
3,RMUX95,43,47,7,11
