src_tile,src_x,src_y,src_res,dst_tile,dst_x,dst_y,dst_res,cfg,source,tier
BramTILE,13,2,CtrlMUX02,BramTILE,13,2,TileClkEnMUX00,CFG_TILECLKENMUX[0],vendor-route,observed
BramTILE,13,2,CtrlMUX03,BramTILE,13,2,TileClkEnMUX00,CFG_TILECLKENMUX[1],vendor-route,observed
BramTILE,13,2,RMUX05,BramTILE,13,2,CtrlMUX03,"CFG_CTRLMUX[36,46]",vendor-route,observed
BramTILE,13,2,RMUX46,BramTILE,13,2,CtrlMUX02,"CFG_CTRLMUX[31,34]",vendor-route,observed
BramTILE,13,2,RMUX58,BramTILE,13,2,CtrlMUX02,"CFG_CTRLMUX[25,35]",vendor-route,observed
BramTILE,13,3,CtrlMUX02,BramTILE,13,3,TileClkEnMUX00,CFG_TILECLKENMUX[0],vendor-route,observed
BramTILE,13,3,CtrlMUX03,BramTILE,13,3,TileClkEnMUX00,CFG_TILECLKENMUX[1],vendor-route,observed
BramTILE,13,3,RMUX71,BramTILE,13,3,CtrlMUX03,"CFG_CTRLMUX[39,47]",vendor-route,observed
BramTILE,13,3,RMUX88,BramTILE,13,3,CtrlMUX02,"CFG_CTRLMUX[30,35]",vendor-route,observed
BramTILE,13,4,CtrlMUX02,BramTILE,13,4,TileClkEnMUX00,CFG_TILECLKENMUX[0],vendor-route,observed
BramTILE,13,4,CtrlMUX03,BramTILE,13,4,TileClkEnMUX00,CFG_TILECLKENMUX[1],vendor-route,observed
BramTILE,13,4,RMUX34,BramTILE,13,4,CtrlMUX02,"CFG_CTRLMUX[29,34]",vendor-route,observed
BramTILE,13,4,RMUX53,BramTILE,13,4,CtrlMUX03,"CFG_CTRLMUX[36,47]",vendor-route,observed
BramTILE,13,4,RMUX76,BramTILE,13,4,CtrlMUX02,"CFG_CTRLMUX[28,35]",vendor-route,observed
BramTILE,13,4,RMUX77,BramTILE,13,4,CtrlMUX03,"CFG_CTRLMUX[40,47]",vendor-route,observed
BramTILE,13,4,RMUX82,BramTILE,13,4,CtrlMUX02,"CFG_CTRLMUX[29,35]",vendor-route,observed
BramTILE,13,4,RMUX83,BramTILE,13,4,CtrlMUX03,"CFG_CTRLMUX[41,47]",vendor-route,observed
LogicTILE,14,4,CtrlMUX00,LogicTILE,14,4,TileClkEnMUX01,CFG_TILECLKENMUX[3],vendor-route,observed
LogicTILE,14,4,CtrlMUX02,LogicTILE,14,4,TileClkEnMUX00,CFG_TILECLKENMUX[0],vendor-route,observed
LogicTILE,14,4,RMUX10,LogicTILE,14,4,CtrlMUX02,"CFG_CTRLMUX[25,34]",vendor-route,observed
LogicTILE,14,5,CtrlMUX00,LogicTILE,14,5,TileClkEnMUX01,CFG_TILECLKENMUX[3],vendor-route,observed
LogicTILE,14,5,CtrlMUX03,LogicTILE,14,5,TileClkEnMUX00,CFG_TILECLKENMUX[1],vendor-route,observed
